"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.86815991486687,0.812760195564691
"2","RMSE",91.2241931500513,105.828981084445
"3","HR-L",1,1
"4","HR-M",0.8,0.7
"5","HR-H",0.8,0.7
