"","MeanOfEachVariate"
"BuckskinLower_SNTL_SWE",7.27666666666667
"GranitePeak_SNTL_SWE",20.01
"LaurelDraw_SNTL_SWE",7.20333333333333
"MudFlat_SNTL_SWE",2.96666666666667
"BuckskinLower_SNTL_P",14.7533333333333
"JackCreekUpper_SNTL_P",18.0633333333333
"JacksPeak_SNTL_P",22.6
"MudFlat_SNTL_P",11.05
