"","MeanOfEachVariate"
"BigBend_SNTL_SWE",5.98666666666667
"FawnCreek_SNTL_SWE",14.9733333333333
"GranitePeak_SNTL_SWE",20.01
"LaurelDraw_SNTL_SWE",7.20333333333333
"MudFlat_SNTL_SWE",2.96666666666667
"TaylorCanyon_SNTL_SWE",1.92666666666667
"BuckskinLower_SNTL_P",14.7533333333333
"JacksPeak_SNTL_P",22.6
"MudFlat_SNTL_P",11.05
"SouthMtn_SNTL_P",22.74
