"","StdevOfEachVariate"
"1",4.55863586169593
"2",4.169386238908
"3",3.44817126278137
"4",2.76728839434405
"5",2.55098808893438
"6",3.78816062483367
"7",4.60235322116999
"8",3.43006484305854
