"","year","prd_PCQR","res_PCQR","prd_PCQR_LOOCV","res_PCQR_LOOCV","obs","y90_PCQR","y70_PCQR","y30_PCQR","y10_PCQR","Ymod_PCQR_1","Ymod_PCQR_2","Ymod_PCQR_3"
"1",1986,349.122035510075,-50.7679644899249,349.122035510075,-50.7679644899249,399.89,248.952602314087,288.667487272954,399.889999999503,646.785380281494,0,0.476190476190476,1
"2",1987,80.4681207165283,17.0881207165283,80.4681207165283,17.0881207165283,63.38,-19.7020002537274,20.0132285927836,115.657215311283,362.552939478463,0.666666666666667,0.952380952380952,1
"3",1988,57.3737557696215,4.00375576962148,75.7320663053728,22.3620663053728,53.37,-42.7965588324645,-3.08123316997903,100.262064078021,347.157885062301,0.857142857142857,1,1
"4",1989,528.560948585763,183.210948585763,573.46595744656,228.11595744656,345.35,428.39226500599,468.106775156375,570.231445078203,817.126450550466,0,0.285714285714286,1
"5",1990,102.182007369602,-16.5579926303977,102.182007369602,-16.5579926303977,118.74,2.0119121784218,41.7271281353574,140.633378262069,387.529089540168,0.571428571428571,0.952380952380952,1
"6",1991,121.884642437257,-33.2553575627426,121.884642437257,-33.2553575627426,155.14,21.7146717429511,61.4298254514037,156.502237316793,403.397886345852,0.476190476190476,0.952380952380952,1
"7",1992,3.08538941039084,-20.6546105896092,-1.41916541541343,-25.1591654154134,23.74,-97.0850718850951,-57.3696728758057,43.3437441377815,290.239638468446,0.952380952380952,1,1
"8",1993,379.494110170294,-34.2358898297064,379.494110170294,-34.2358898297064,413.73,279.32487409411,319.039660493003,424.002467514532,670.89774923564,0,0.428571428571429,1
"9",1994,2.06662584810751,-42.1933741518925,-13.8690479802974,-58.1290479802974,44.26,-98.1037887554368,-58.3884130921219,38.9531412251922,285.849012209383,0.857142857142857,1,1
"10",1995,327.640711604699,-101.659288395301,327.640711604699,-101.659288395301,429.3,227.471356073132,267.186202199814,368.248911353872,615.144252802162,0,0.523809523809524,1
"11",1996,430.024166660918,66.4841666609182,460.770852149237,97.2308521492367,363.54,329.855185481767,369.569844432034,469.02716585483,715.922320126524,0,0.285714285714286,1
"12",1997,377.41,-5.6843418860808e-14,416.410934001437,39.0009340014374,377.41,277.240709438821,316.955523080222,425.100149830518,671.995458794602,0,0.428571428571429,1
"13",1998,351.500963812888,-277.239036187112,351.500963812888,-277.239036187112,628.74,251.331789215338,291.046544874953,385.439356871007,632.334607851255,0,0.476190476190476,1
"14",1999,327.862832643076,-30.7071673569239,327.862832643076,-30.7071673569239,358.57,227.693625217569,267.408397291204,358.570000000068,605.465267393845,0,0.523809523809524,1
"15",2000,276.27876844875,130.26876844875,302.106313172364,156.096313172364,146.01,176.109355496728,215.824230333726,308.931358529854,555.826728687255,0,0.666666666666667,1
"16",2001,62.3934495739008,-52.2565504260992,62.3934495739008,-52.2565504260992,114.65,-37.7768285865696,1.93847885509587,103.987635960949,350.88343872422,0.80952380952381,1,1
"17",2002,338.790385545784,89.5303855457838,369.173927179876,119.913927179876,249.26,238.621210900313,278.335966583908,369.808371881287,616.703622885077,0,0.523809523809524,1
"18",2003,51.7540170871301,-58.1559829128699,51.7540170871301,-58.1559829128699,109.91,-48.4163166961522,-8.70098144305732,94.6385980115372,341.534428586423,0.952380952380952,1,1
"19",2004,238.208961240657,86.1989612406572,238.208961240657,86.1989612406572,152.01,138.039320099596,177.754309031202,277.438288506497,524.333772759456,0.0952380952380952,0.714285714285714,1
"20",2005,226.392108562542,-327.267891437458,226.392108562542,-327.267891437458,553.66,126.222464309815,165.937454797273,263.112470808106,510.00795661654,0.0952380952380952,0.714285714285714,1
"21",2006,556.022798982143,-313.587201017857,556.022798982143,-313.587201017857,869.61,455.854287791585,495.568711747299,592.426087179591,839.321006456417,0,0,1
"22",2007,121.844246446527,58.9442464465274,121.844246446527,58.9442464465274,62.9,21.6741507349699,61.3893669520625,164.853199414007,411.748910952948,0.428571428571429,1,1
"23",2008,411.125753380842,81.6757533808419,442.68433600573,113.23433600573,329.45,310.956822018196,350.671456060235,442.434363181326,689.329492543643,0,0.428571428571429,1
"24",2009,260.843042936736,35.6430429367365,276.668672577974,51.4686725779737,225.2,160.67346147035,200.388420564575,301.268659279952,548.164113695721,0,0.714285714285714,1
"25",2010,257.02,0,286.328542299004,29.3085422990041,257.02,156.85055234707,196.565444534558,287.574539176619,534.469926684186,0,0.666666666666667,1
"26",2011,629.089037714657,-344.570962285342,605.932075956937,-367.727924043063,973.66,528.920840514263,568.635107474742,661.199815816979,908.094578097976,0,0,0.80952380952381
"27",2012,162.239929402166,79.5499294021656,162.239929402166,79.5499294021656,82.69,62.0699990058517,101.785132565239,203.431994886023,450.327623767012,0.285714285714286,0.952380952380952,1
"28",2013,151.459275357294,113.169275357294,151.459275357294,113.169275357294,38.29,51.2893089063014,91.0044604930492,192.594353468117,439.490000376452,0.285714285714286,0.952380952380952,1
"29",2014,119.567119423329,70.4971194233295,119.567119423329,70.4971194233295,49.07,19.3970608684745,59.1122585072153,159.555519468338,406.451212428479,0.476190476190476,0.952380952380952,1
"30",2015,55.52,-7.105427357601e-15,74.3231508997869,18.8031508997869,55.52,-44.6503317156085,-4.93499749635684,99.1318751781877,346.02770471934,0.952380952380952,1,1
