"","year","prd_PCANN","res_PCANN","prd_PCANN_LOOCV","res_PCANN_LOOCV","obs","y90_PCANN_BCbased","y70_PCANN_BCbased","y30_PCANN_BCbased","y10_PCANN_BCbased","Ymod_PCANN_BC_1","Ymod_PCANN_BC_2","Ymod_PCANN_BC_3"
"result.1",1986,330.233070996363,-69.6569290036375,300.490684773481,-99.399315226519,399.89,169.620818420828,251.511106344721,433.593374982073,642.915749100162,0.0300021283540104,0.61491225079202,0.988160985460377
"result.2",1987,84.9964436146637,21.6164436146637,86.7832070540057,23.4032070540057,63.38,43.6559291281832,64.7337511948737,111.601341112372,165.481848988556,0.69466840636954,0.996341206570708,0.999998357962689
"result.3",1988,69.9690419610756,16.5990419610756,71.3490404408558,17.9790404408558,53.37,35.9373541266609,53.288684989557,91.8703837357571,136.225323226058,0.812173625611809,0.998889029648294,0.999999753491508
"result.4",1989,591.493825011102,246.143825011102,642.795306668557,297.445306668557,345.35,303.819555761872,450.494659716203,776.621594211111,1151.53408788606,0.000412871225349098,0.1207771259038,0.78787148417028
"result.5",1990,111.802844035828,-6.93715596417202,111.161965497713,-7.57803450228663,118.74,57.424680353643,85.14991151409,146.79801405638,217.670315983052,0.513062011423823,0.98629592216657,0.999985154500093
"result.6",1991,109.727019434649,-45.4129805653508,104.788057248819,-50.3519427511806,155.14,56.3584571025952,83.5689299317006,144.072470183076,213.628977260224,0.55818451654598,0.989809950477638,0.999991043948338
"result.7",1992,45.6043622182428,21.8643622182428,49.621257845151,25.881257845151,23.74,23.4229438338707,34.7322873504607,59.8794863361464,88.7898632176477,0.943484435320661,0.99991423231927,0.999999994912657
"result.8",1993,379.221167453622,-34.5088325463777,376.249496750026,-37.480503249974,413.73,194.783786385401,288.821717534586,497.913583579855,738.285655540972,0.0103500826870816,0.444131971179045,0.966350130994896
"result.9",1994,42.6105995359452,-1.6494004640548,42.3104253132711,-1.94957468672892,44.26,21.8852710303284,32.4522127402605,55.9486554364924,82.9612813717223,0.970714018496334,0.999975911608333,0.999999999202567
"result.10",1995,302.395753973349,-126.904246026651,294.411307957973,-134.888692042027,429.3,155.32209317704,230.309507120921,397.043591460564,588.721959317138,0.0327791185441275,0.629857290440066,0.989322364571265
"result.11",1996,473.656049924378,110.116049924378,486.259530907619,122.719530907619,363.54,243.29095383975,360.745932492251,621.904090902641,922.13033517288,0.00250047838611974,0.263019377815698,0.909242340294487
"result.12",1997,374.496235017602,-2.91376498239816,374.75089290897,-2.65910709103031,377.41,192.356798375087,285.223083365946,491.709863620065,729.087184035274,0.0105628842385961,0.447167264892708,0.96692064401993
"result.13",1998,343.516346850762,-285.223653149238,309.319708301756,-319.420291698244,628.74,176.443826537848,261.627989725575,451.034011002895,668.77563404143,0.0264040656328607,0.593447024420443,0.986328621384925
"result.14",1999,329.798940161548,-28.7710598384517,324.41596887921,-34.1540311207898,358.57,169.397825494601,251.180461248272,433.023371038776,642.070582601879,0.0212709155732802,0.557536865070017,0.982780574239282
"result.15",2000,264.068381463953,118.058381463953,278.3001995782,132.2901995782,146.01,135.635177690478,201.118454557722,346.720534016487,514.105865292024,0.0415354333806289,0.669947468421503,0.992022350556552
"result.16",2001,82.3053699422814,-32.3446300577186,78.5972540123751,-36.0527459876249,114.65,42.2737009289435,62.6841923999945,108.067968224007,160.242666598136,0.757963466707871,0.997964932487292,0.999999360026722
"result.17",2002,353.230148473745,103.970148473745,372.756827182341,123.496827182341,249.26,181.433364427702,269.026272812187,463.788004578828,687.686448244704,0.0108533123933316,0.451229756301657,0.967670853321864
"result.18",2003,64.7471531579034,-45.1628468420966,60.4016011282246,-49.5083988717754,109.91,33.2552279347714,49.3116321472437,85.0140404085072,126.058901446364,0.886175477511401,0.999636705711688,0.999999955904387
"result.19",2004,230.02621320481,78.0162132048104,236.570862135893,84.5608621358932,152.01,118.149429475981,175.191156640242,302.023793986626,447.832000118518,0.077725420426783,0.77408532843276,0.996760861874543
"result.20",2005,214.003311852,-339.656688148,195.870526756089,-357.789473243911,553.66,109.919295516172,162.987761116703,280.985994605097,416.638255949263,0.145197971269449,0.867714918887926,0.998985050524423
"result.21",2006,731.479180744892,-138.130819255108,687.190827686047,-182.419172313953,869.61,375.724919738426,557.111896359371,960.417768568542,1424.05260347746,0.000257782608992282,0.0968641356895239,0.748743091791558
"result.22",2007,111.318306178626,48.4183061786263,114.663316806609,51.7633168066092,62.9,57.1758030494653,84.7808796174454,146.161819128491,216.72698906596,0.489259637243541,0.98406280549375,0.999980737374501
"result.23",2008,468.8605097707,139.4105097707,497.985478023374,168.535478023374,329.45,240.827682730877,357.093512487936,615.607680469033,912.794461995991,0.00216662131372578,0.248278286489813,0.901518176750526
"result.24",2009,241.258463555935,16.0584635559352,243.111468872604,17.9114688726036,225.2,123.918863728121,183.74589226833,316.771539525351,469.699161665983,0.0703731375888423,0.758002004112675,0.996208096844082
"result.25",2010,266.879985300778,9.85998530077779,268.035698287727,11.0156982877269,257.02,137.079359920814,203.259838413284,350.412115078667,519.579532005301,0.0483742621550319,0.695703295351959,0.993472229767445
"result.26",2011,939.048470965149,-34.6115290348512,834.477693328688,-139.182306671312,973.66,482.346359817178,715.203587489804,1232.94872126675,1828.13855294846,5.99740578731058e-05,0.0471317171115823,0.616707140624355
"result.27",2012,152.860701784175,70.1707017841751,156.938920915472,74.2489209154723,82.69,78.5136734147296,116.420300622827,200.706603070509,297.603814136816,0.264069280307592,0.938470201704143,0.99977781498425
"result.28",2013,135.691744974199,97.4017449741989,141.559741560256,103.269741560256,38.29,69.6949741400223,103.344106966855,178.163943562905,264.178509404107,0.332726643402555,0.95911535313231,0.999896648188629
"result.29",2014,114.581838053937,65.5118380539372,118.267112892188,69.1971128921882,49.07,58.8520792725628,87.2664388071596,150.44681380709,223.080623520516,0.465546129421211,0.981530471300017,0.999975104443971
"result.30",2015,77.8800597724225,22.3600597724225,79.8781350306617,24.3581350306617,55.52,40.0007117910267,59.3138168284346,102.257544397405,151.627133344654,0.748144356169395,0.997755395998002,0.999999251881968
