"","StdevOfEachVariate"
"1",4.55863586169593
"2",4.59136621041721
"3",8.77415287196945
"4",4.169386238908
"5",3.44817126278137
"6",8.07028322082737
"7",2.55098808893438
"8",3.78816062483367
"9",5.54480185274523
"10",4.40738799806838
