"","metrics","values"
"1","Rsqrd","0.812760195564691"
"2","RMSE","105.828981084445"
"3","RPSS","0.577662125884456"
"4","HR-L","1"
"5","HR-M","0.7"
"6","HR-H","0.7"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","0"
"10","FD 90-70","4"
"11","FD 70-BE","11"
"12","FD BE-30","10"
"13","FD 30-10","3"
"14","FD 10-0","2"
"15","Max Abs Err","277.354999732675"
"16","Year of max","2005"
"17","Max Rel Err","105.078456018274"
"18","Year of max","2000"
