"","perc_var_expl"
"1",74.0148867737826
"2",9.72059148856004
"3",7.21239556974585
"4",2.76534863572487
"5",1.76254810168121
"6",1.38368898420755
"7",1.23997680533452
"8",0.906352896497831
"9",0.416674886633583
"10",0.227490726241556
"11",0.212002313526719
"12",0.138042818063627
