"","StdevOfEachVariate"
"1",4.17981465793791
"2",4.59136621041721
"3",8.77415287196945
"4",4.169386238908
"5",3.44817126278137
"6",2.76728839434405
"7",3.78816062483367
"8",5.54480185274523
"9",3.43006484305854
"10",5.75515361249796
