"","metrics","values"
"1","Rsqrd","0.69485615889291"
"2","RMSE","135.338607353333"
"3","RPSS","0.562414965986395"
"4","HR-L","0.7"
"5","HR-M","0.7"
"6","HR-H","0.7"
"7","BE<0?","Y"
"8","PB<0?","Y"
"9","FD 100-90","3"
"10","FD 90-70","6"
"11","FD 70-BE","8"
"12","FD BE-30","4"
"13","FD 30-10","6"
"14","FD 10-0","3"
"15","Max Abs Err","370.487824736884"
"16","Year of max","2011"
"17","Max Rel Err","233.920454702611"
"18","Year of max","2013"
