"","Postprocessed_Prediction_Bound_Information","Estimated_Value"
"1","optimal Box-Cox lambda, PCR",0.654328961791187
"2","Box-Cox space LOOCV RMSE, PCR",18.9824327331401
"3","optimal Box-Cox lambda, PCANN",4.10225926326142e-05
"4","Box-Cox space LOOCV RMSE, PCANN",0.481071119118451
"5","optimal Box-Cox lambda, PCSVM",4.10225926326142e-05
"6","Box-Cox space LOOCV RMSE, PCSVM",0.571555960057529
"7","optimal Box-Cox lambda, PCRF",4.10225926326142e-05
"8","Box-Cox space LOOCV RMSE, PCRF",0.569986363415224
