"","metrics","values"
"1","Rsqrd","0.783276294008241"
"2","RMSE","113.330869622351"
"3","RPSS","0.520719636378402"
"4","HR-L","0.9"
"5","HR-M","0.5"
"6","HR-H","0.8"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","0"
"10","FD 90-70","4"
"11","FD 70-BE","11"
"12","FD BE-30","10"
"13","FD 30-10","5"
"14","FD 10-0","0"
"15","Max Abs Err","246.723671477766"
"16","Year of max","2005"
"17","Max Rel Err","123.844152609709"
"18","Year of max","2013"
