"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.876573973782246,0.798430739254821
"2","RMSE",87.2918575324122,110.362310674247
"3","HR-L",1,1
"4","HR-M",0.7,0.7
"5","HR-H",0.7,0.7
