"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.952331004227533,0.774909306972943
"2","RMSE",55.853823533052,115.229096279064
"3","HR-L",1,0.9
"4","HR-M",0.7,0.4
"5","HR-H",0.8,0.6
