"","year","prd_PCSVM","res_PCSVM","prd_PCSVM_LOOCV","res_PCSVM_LOOCV","obs","y90_PCSVM","y70_PCSVM","y30_PCSVM","y10_PCSVM","Ymod_PCSVM_1","Ymod_PCSVM_2","Ymod_PCSVM_3"
"1",1986,399.965606585044,0.0756065850443974,307.797008302002,-92.0929916979978,399.89,264.292852834786,344.511220496795,455.419992673294,535.638360335303,0.0328829512125588,0.654126555258204,0.999999999843176
"2",1987,93.3042954415488,29.9242954415488,93.9898740756917,30.6098740756917,63.38,-42.3684583087098,37.8499093532996,148.758681529798,228.977049191807,0.571538359031532,0.992171051177368,1
"3",1988,52.6970832746298,-0.672916725370207,50.7237631153972,-2.64623688460281,53.37,-82.9756704756288,-2.75730281361944,108.151469362879,188.369837024888,0.722110458974657,0.997640568653502,1
"4",1989,345.437399958084,0.0873999580839495,448.388122049559,103.038122049559,345.35,209.764646207825,289.983013869835,400.891786046333,481.110153708343,0.000766163762623867,0.175671082824001,0.99999965365671
"5",1990,98.6570214291512,-20.0829785708488,88.9138557016082,-29.8261442983918,118.74,-37.0157323211074,43.202635340902,154.1114075174,234.32977517941,0.590276548757252,0.993144706108437,1
"6",1991,155.166388282161,0.0263882821614061,161.499088839185,6.35908883918466,155.14,19.4936345319028,99.7120021939122,210.620774370411,290.83914203242,0.323613990450305,0.962370683981202,0.999999999999992
"7",1992,23.7568924906001,0.0168924906001386,50.1555902820579,26.4155902820579,23.74,-111.915861259658,-31.6974935976491,79.2112785788494,159.429646240859,0.723908223967341,0.997679811232884,1
"8",1993,361.334405696445,-52.3955943035546,354.494801351789,-59.2351986482109,413.73,225.661651946187,305.880019608196,416.788791784695,497.007159446704,0.0112661475235612,0.482144674087638,0.999999997551286
"9",1994,44.1729253650068,-0.0870746349932077,5.68150061315475,-38.5784993868452,44.26,-91.4998283852518,-11.2814607232424,99.627311453256,179.845679115265,0.844884206223486,0.999425481131839,1
"10",1995,221.858462762781,-207.441537237219,203.772155697572,-225.527844302428,429.3,86.1857090125224,166.404076674532,277.31284885103,357.53121651304,0.195704899112925,0.916120114844334,0.999999999999827
"11",1996,420.953444971794,57.4134449717935,505.970625341429,142.430625341429,363.54,285.280691221535,365.499058883544,476.407831060043,556.626198722052,0.000102570673842164,0.069958778470544,0.999995048805595
"12",1997,377.436996410756,0.0269964107561123,438.503724510492,61.0937245104923,377.41,241.764242660498,321.982610322507,432.891382499005,513.109750161015,0.0010521924363999,0.200849890848622,0.999999786828022
"13",1998,356.841038947468,-271.898961052532,356.650156655123,-272.089843344877,628.74,221.16828519721,301.386652859219,412.295425035717,492.513792697727,0.0106777570382466,0.47403205567795,0.999999997232847
"14",1999,358.587173611311,0.0171736113112502,400.350527380464,41.7805273804642,358.57,222.914419861053,303.132787523062,414.04155969956,494.25992736157,0.00331806054863332,0.316299520203174,0.999999969750524
