"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.738958050315306,0.682924720773041
"2","RMSE",121.95997062139,134.509788942548
"3","HR-L",0.8,0.8
"4","HR-M",0.5,0.5
"5","HR-H",0.8,0.8
