"","metrics","values"
"1","Rsqrd","0.697329774864983"
"2","RMSE","131.371518203912"
"3","RPSS","0.412458381557277"
"4","HR-L","0.6"
"5","HR-M","0.4"
"6","HR-H","0.5"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","2"
"10","FD 90-70","10"
"11","FD 70-BE","4"
"12","FD BE-30","8"
"13","FD 30-10","5"
"14","FD 10-0","1"
"15","Max Abs Err","339.656688148"
"16","Year of max","2005"
"17","Max Rel Err","254.379067574299"
"18","Year of max","2013"
