"","year","prd_PCSVM","res_PCSVM","prd_PCSVM_LOOCV","res_PCSVM_LOOCV","obs","y90_PCSVM_BCbased","y70_PCSVM_BCbased","y30_PCSVM_BCbased","y10_PCSVM_BCbased","Ymod_PCSVM_BC_1","Ymod_PCSVM_BC_2","Ymod_PCSVM_BC_3"
"1",1986,399.965606585044,0.0756065850443974,307.797008302002,-92.0929916979978,399.89,192.25312873253,296.472658304257,539.583983959202,832.07470211539,0.0398444741583582,0.588484531432765,0.978069144599805
"2",1987,93.3042954415488,29.9242954415488,93.9898740756917,30.6098740756917,63.38,44.8470013101578,69.160141474236,125.876832242332,194.115540032241,0.626813105311354,0.989263605750354,0.999978554516404
"3",1988,52.6970832746298,-0.672916725370207,50.7237631153972,-2.64623688460281,53.37,25.3285829266612,39.0604970557468,71.094138069985,109.635878608963,0.919655546803918,0.999636118206037,0.999999883366959
"4",1989,345.437399958084,0.0873999580839495,448.388122049559,103.038122049559,345.35,166.042097894112,256.05341604757,466.022130320597,718.639260223168,0.00795683420097994,0.331872879855521,0.912611647000374
"5",1990,98.6570214291512,-20.0829785708488,88.9138557016082,-29.8261442983918,118.74,47.4198852905078,73.1278040591417,133.098104087061,205.251310214946,0.662968804019933,0.991728748823539,0.999985958725554
"6",1991,155.166388282161,0.0263882821614061,161.499088839185,6.35908883918466,155.14,74.5823497153385,115.015030805361,209.333678631773,322.812006880563,0.266363637734986,0.911859336903714,0.999166880773166
"7",1992,23.7568924906001,0.0168924906001386,50.1555902820579,26.4155902820579,23.74,11.4183551758556,17.6090760588205,32.0509641010686,49.4272165103901,0.922555080650913,0.999661356532677,0.999999895063806
"8",1993,361.334405696445,-52.3955943035546,354.494801351789,-59.2351986482109,413.73,173.683578830446,267.837124925129,487.468167785625,751.709973936052,0.0227668472380605,0.490606404989776,0.961487364994984
"9",1994,44.1729253650068,-0.0870746349932077,5.68150061315475,-38.5784993868452,44.26,21.2313775334402,32.7420907201215,59.5942444353748,91.901920625059,0.999999916795787,0.999999999999719,1
"10",1995,221.858462762781,-207.441537237219,203.772155697572,-225.527844302428,429.3,106.639739700912,164.450370213096,299.30608487456,461.554895308491,0.151335005608456,0.827777121911207,0.996901573164464
"11",1996,420.953444971794,57.4134449717935,505.970625341429,142.430625341429,363.54,202.341751143566,312.029992577644,567.897815391807,875.735733887021,0.00436654326398755,0.259078880746267,0.874014238911211
"12",1997,377.436996410756,0.0269964107561123,438.503724510492,61.0937245104923,377.41,181.423892053595,279.773230848986,509.19154019825,785.208323729183,0.00884893339772473,0.3461494123148,0.918646411398381
"13",1998,356.841038947468,-271.898961052532,356.650156655123,-272.089843344877,628.74,171.523675668929,264.506401077563,481.406341162087,742.36237879708,0.0221997969579176,0.486376162976965,0.960592635909264
"14",1999,358.587173611311,0.0171736113112502,400.350527380464,41.7805273804642,358.57,172.363019875069,265.800729454696,483.761983752951,745.994880367357,0.0134634197083442,0.406547695802763,0.940065887934615
"15",2000,299.435053632282,153.425053632282,312.871570491279,166.861570491279,146.01,143.929438319437,221.954061092122,403.962068264245,622.93981370961,0.0374471937470379,0.577315853589459,0.976527335772137
"16",2001,49.6898692035354,-64.9601307964647,46.0448398859293,-68.6051601140707,114.65,23.8831387223835,36.8314424280463,67.0371252479213,103.379575295683,0.942037531454239,0.999806101889471,0.999999953530336
"17",2002,277.562179258403,28.3021792584034,282.279308420972,33.0193084209717,249.26,133.415500315199,205.74075995722,374.45414326714,577.437157964473,0.0546839093331262,0.646207317781811,0.984877333842775
"18",2003,43.1179476516192,-66.7920523483808,38.9018383398042,-71.0081616601958,109.91,20.7242955364059,31.9601050369157,58.1709781200334,89.7071010931583,0.969055829205973,0.999939288930195,0.99999999124701
"19",2004,156.140232743201,4.13023274320074,174.411857305685,22.4018573056851,152.01,75.0504523674625,115.736889013016,210.647467874029,324.837956003453,0.224088875745266,0.888328261588217,0.998691382180929
"20",2005,276.305000267325,-277.354999732675,270.807651927264,-282.852348072736,553.66,132.811195385763,204.808874599394,372.758126491097,574.821815703868,0.063202147470614,0.672817291626347,0.987437245789134
"21",2006,869.532872226139,-0.0771277738605249,996.005478783963,126.395478783963,869.61,417.971730199039,644.543372953283,1173.05470359504,1808.90409045953,7.0156859743547e-05,0.0335150222301484,0.484161801191117
"22",2007,65.449207056554,2.549207056554,71.5634646932973,8.66346469329728,62.9,31.4580307426462,48.5128437177898,88.2979149332407,136.165687749735,0.788277416302849,0.997253468588871,0.999997542250178
"23",2008,329.525943797363,0.0759437973629815,258.86242544898,-70.5875745510203,329.45,158.393681417494,244.259002419789,444.556586207678,685.538439332385,0.0736004585414735,0.70078254569733,0.989786587929156
"24",2009,225.070840023306,-0.129159976693643,213.339965948297,-11.8600340517034,225.2,108.183865807061,166.831542240757,303.639803561172,468.237730636719,0.133279419128708,0.806513529747714,0.996056643116202
"25",2010,256.939751259669,-0.080248740331001,214.234293417128,-42.7857065828715,257.02,123.502654511997,190.454368450767,346.633125320703,534.535736631517,0.131710308214042,0.804498346414147,0.995970177712791
"26",2011,853.303068357116,-120.356931642884,850.108835915275,-123.551164084725,973.66,410.170068683864,632.512844672633,1151.15994063438,1775.14195721133,0.000207450914228721,0.0600591718461578,0.593859551839821
"27",2012,82.6895521798419,-0.000447820158086643,84.7508460204416,2.06084602044157,82.69,39.7448475126512,61.2920618054348,111.556646779458,172.032651431256,0.693042265519661,0.993442559027629,0.999990330812093
