"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.891929911444821,0.837368063094808
"2","RMSE",80.6379138945696,98.5605903106192
"3","HR-L",1,0.9
"4","HR-M",0.9,0.7
"5","HR-H",0.8,0.7
