"","year","prd_PCANN","res_PCANN","prd_PCANN_LOOCV","res_PCANN_LOOCV","obs","y90_PCANN","y70_PCANN","y30_PCANN","y10_PCANN","Ymod_PCANN_1","Ymod_PCANN_2","Ymod_PCANN_3"
"result.1",1986,346.194523107853,-53.6954768921471,342.083420959113,-57.8065790408872,399.89,188.134427354245,281.589616575177,410.799429640529,504.254618861461,0.0316206650738757,0.524812736492031,0.999999849337192
"result.2",1987,85.8326595484296,22.4526595484296,85.4247152996399,22.0447152996399,63.38,-72.2274362051785,21.2277530157536,150.437566081106,243.892755302038,0.588709450398409,0.983981710362301,0.999999999999708
"result.3",1988,87.9011999903028,34.5311999903028,89.4318605092946,36.0618605092946,53.37,-70.1588957633053,23.2962934576268,152.506106522979,245.961295743911,0.576021245871743,0.982633286366179,0.99999999999963
"result.4",1989,584.565891038763,239.215891038763,616.997656182432,271.647656182432,345.35,426.505795285155,519.960984506087,649.170797571439,742.625986792371,2.18233763809214e-05,0.0150965218332289,0.998091065908239
"result.5",1990,114.342734956298,-4.39726504370186,114.498986457955,-4.24101354204451,118.74,-43.7173607973099,49.7378284236221,178.947641488974,272.402830709906,0.495376251109935,0.971813256075833,0.999999999998399
"result.6",1991,112.83163305795,-42.3083669420496,109.972779559723,-45.1672204402767,155.14,-45.2284626956576,48.2267265252744,177.436539590626,270.891728811558,0.510020797610272,0.974103393752341,0.999999999998767
"result.7",1992,38.3255156110573,14.5855156110573,40.8454779266998,17.1054779266998,23.74,-119.734580142551,-26.2793909216187,102.930422143733,196.385611364665,0.720995533935174,0.993886580378038,0.999999999999981
"result.8",1993,370.998871112575,-42.7311288874253,366.820146219229,-46.9098537807709,413.73,212.938775358967,306.393964579899,435.603777645251,529.058966866183,0.0197889910992458,0.444962489663991,0.999999571636009
"result.9",1994,53.0317266374755,8.77172663747549,54.5374010034087,10.2774010034087,44.26,-105.028369116133,-11.5731798952005,117.636633170151,211.091822391084,0.682516874556468,0.991677932615794,0.999999999999955
"result.10",1995,315.748215992407,-113.551784007593,306.688561335348,-122.611438664652,429.3,157.688120238799,251.143309459731,380.353122525083,473.808311746015,0.0581599959393622,0.636574883655893,0.999999968434442
"result.11",1996,488.178644160454,124.638644160454,501.477152802162,137.937152802162,363.54,330.118548406846,423.573737627778,552.78355069313,646.238739914062,0.00081549235012231,0.109239911052497,0.999935876037207
"result.12",1997,386.420332784,9.0103327839995,386.668586890274,9.2585868902741,377.41,228.360237030391,321.815426251324,451.025239316676,544.480428537608,0.013239481241358,0.382322525562402,0.999999036785806
"result.13",1998,357.490811337236,-271.249188662764,335.089848198229,-293.650151801771,628.74,199.430715583628,292.88590480456,422.095717869912,515.550907090844,0.0358697857079893,0.547346557883722,0.999999888663691
"result.14",1999,311.916197747218,-46.6538022527818,307.37018098203,-51.1998190179697,358.57,153.85610199361,247.311291214542,376.521104279894,469.976293500826,0.057520103922671,0.634497875902876,0.999999967445322
"result.15",2000,274.369393300929,128.359393300929,282.977436504923,136.967436504923,146.01,116.309297547321,209.764486768253,338.974299833605,432.429489054537,0.0840874620248884,0.705965215091649,0.999999989406297
"result.16",2001,76.2540263965839,-38.3959736034161,72.1552301178479,-42.4947698821521,114.65,-81.8060693570241,11.6491198639079,140.85893292926,234.314122150192,0.629999912272366,0.987825605200717,0.999999999999868
"result.17",2002,331.435149238036,82.1751492380363,338.123550483501,88.8635504835011,249.26,173.375053484428,266.83024270536,396.040055770712,489.495244991644,0.0339723706338083,0.537586154651394,0.999999873004303
"result.18",2003,72.3437501081098,-37.5662498918902,72.8459366080343,-37.0640633919657,109.91,-85.7163456454983,7.73884357543376,136.948656640786,230.403845861718,0.627882735043337,0.987647303242054,0.999999999999863
"result.19",2004,211.092095718834,59.0820957188336,213.809430793687,61.7994307936868,152.01,53.0319999652255,146.487189186158,275.69700225151,369.152191472442,0.206940981183312,0.864909570214596,0.99999999964316
"result.20",2005,213.650733680976,-340.009266319024,195.301170408342,-358.358829591658,553.66,55.5906379273684,149.0458271483,278.255640213652,371.710829434585,0.252397631589186,0.894854137238937,0.999999999863288
"result.21",2006,763.774120311262,-105.835879688738,720.3435850718,-149.2664149282,869.61,605.714024557654,699.169213778586,828.379026843938,921.83421606487,4.20728169156513e-07,0.00132454272768622,0.980041591461782
"result.22",2007,94.9348114814003,32.0348114814003,96.353715665373,33.453715665373,62.9,-63.1252842722077,30.3299049487243,159.539718014076,252.994907235008,0.553924563712031,0.980075490773254,0.999999999999443
"result.23",2008,472.052557141339,142.602557141339,485.844166939785,156.394166939785,329.45,313.99246138773,407.447650608663,536.657463674014,630.112652894947,0.00124929858039792,0.134843463861596,0.999961987283049
"result.24",2009,250.079093761044,24.8790937610438,251.488916492942,26.2889164929417,225.2,92.0189980074357,185.474187228368,314.68400029372,408.139189514652,0.13078383289902,0.787284330453006,0.999999997649341
"result.25",2010,263.598633043713,6.5786330437129,263.066462845102,6.0464628451021,257.02,105.538537290105,198.993726511037,328.203539576389,421.658728797321,0.111878759785786,0.75901272209902,0.999999995880877
"result.26",2011,922.664455460981,-50.9955445390189,825.51368300218,-148.14631699782,973.66,764.604359707373,858.059548928305,987.269361993657,1080.72455121459,3.76811759133357e-09,5.69752261193502e-05,0.885238972509547
"result.27",2012,140.972240002931,58.2822400029311,143.703272154418,61.0132721544185,82.69,-17.0878557506769,76.3673334702551,205.577146535607,299.032335756539,0.401888661685615,0.952665417875618,0.999999999991612
"result.28",2013,127.070647432008,88.7806474320078,131.676274038383,93.3862740383834,38.29,-30.9894483216002,62.4657408993318,191.675553964684,285.130743185616,0.440022372128026,0.961537621052031,0.99999999999573
"result.29",2014,110.142178084279,61.0721780842793,113.960429770377,64.8904297703769,49.07,-47.9179176693287,45.5372715516033,174.747084616955,268.202273837887,0.497118811009775,0.972094295231664,0.999999999998447
"result.30",2015,67.1824142961132,11.6624142961132,69.1691617950794,13.6491617950794,55.52,-90.8776814574948,2.57750776343723,131.787320828789,225.242510049721,0.639106914489494,0.988571011527644,0.99999999999989
