"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.771100189305499,0.697329774864983
"2","RMSE",114.205226828112,131.371518203912
"3","HR-L",0.7,0.6
"4","HR-M",0.4,0.4
"5","HR-H",0.5,0.5
