"","metrics","values"
"1","Rsqrd","0.774909306972943"
"2","RMSE","115.229096279064"
"3","RPSS","0.500808659446393"
"4","HR-L","0.9"
"5","HR-M","0.4"
"6","HR-H","0.6"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","1"
"10","FD 90-70","5"
"11","FD 70-BE","11"
"12","FD BE-30","9"
"13","FD 30-10","4"
"14","FD 10-0","0"
"15","Max Abs Err","141.893285000001"
"16","Year of max","1998"
"17","Max Rel Err","94.0244973322104"
"18","Year of max","1992"
