"","year","obs","res_PCR","res_PCQR","res_PCANN","res_PCRF","res_PCMCQRNN","res_PCSVM","res_ensemble","res_PCR_LOOCV","res_PCQR_LOOCV","res_PCANN_LOOCV","res_PCRF_LOOCV","res_PCMCQRNN_LOOCV","res_PCSVM_LOOCV","res_ensemble_LOOCV"
"1",1986,399.89,-36.0965239175904,-50.7679644899249,-69.6569290036375,69.2945443333331,-50.0830362396824,0.0111171786530804,-12.6085759328334,-37.6231699843806,-50.7679644899249,-99.399315226519,104.287798333333,-53.4293168579165,-12.1488882870441,-15.1724305095368
"2",1987,63.38,-1.37955678890157,17.0881207165283,21.6164436146637,-2.08208499999997,-43.9403043017811,3.57128236336009,-5.20866583093934,-1.47858030164819,17.0881207165283,23.4032070540057,-4.00558466666659,-43.7112657755516,4.23650110250045,-5.01928557142803
"3",1988,53.37,-18.2632628681325,4.00375576962148,16.5990419610756,3.1034883333334,33.1614742938159,-0.0931879620680078,13.1927041565392,-19.7723270977248,22.3620663053728,17.9790404408558,5.64175766666668,33.6658406954307,-3.32949351640035,13.4892863216382
"4",1989,345.35,225.542028406784,183.210948585763,246.143825011102,60.6035853333332,245.774612788441,-0.0845098453795572,138.109378321874,252.255178423275,228.11595744656,297.445306668557,169.541364000001,298.510203650885,51.355139036302,204.213003338936
"5",1990,118.74,-6.82472434787645,-16.5579926303977,-6.93715596417202,-27.5796630000001,-14.8882658193193,0.0245917348340328,-12.3451232621643,-7.20404212860167,-16.5579926303977,-7.57803450228663,-66.4487083333332,-15.206191157783,3.18855070662424,-21.5110958216946
"6",1991,155.14,-35.9491040477251,-33.2553575627426,-45.4129805653508,-23.1406206666668,-68.676386404256,0.0219758270626755,-34.3020029523028,-37.8768774936526,-33.2553575627426,-50.3519427511806,-50.2733316666666,-68.7761097133657,-9.49008957370967,-44.7228684262307
"7",1992,23.74,-49.192141248813,-20.6546105896092,21.8643622182428,22.3214156666667,-23.74,0.0731403689233439,5.12972956345822,-54.7533808159277,-25.1591654154134,25.881257845151,44.7916953333333,-23.74,69.2391701817005,29.0430308400462
"8",1993,413.73,-22.7614698787995,-34.2358898297064,-34.5088325463777,21.0239363333338,3.73874020832415,0.039554255854739,-2.42665043721627,-23.8409329257308,-34.2358898297064,-37.480503249974,54.6532406666667,3.77907531015092,-54.6613873496337,-8.42739365569759
"9",1994,44.26,-51.7826800939511,-42.1933741518925,-1.6494004640548,19.9182983333333,-44.26,-0.00496796438091707,-6.49901752377561,-57.1230610590604,-58.1290479802974,-1.94957468672892,49.1144556666668,-44.26,-5.97149056476488,-0.766652396206759
"10",1995,429.3,-99.567998336977,-101.659288395301,-126.904246026651,-91.7842929999998,-136.941854099124,-208.535477025328,-141.041467537776,-103.322419856763,-101.659288395301,-134.888692042027,-203.544717000001,-138.265969767125,-292.323395679152,-192.255693622076
