"","StdevOfEachVariate"
"1",4.55863586169593
"2",8.77415287196945
"3",3.44817126278137
"4",2.55098808893438
"5",3.78816062483367
"6",5.69373117671037
"7",4.19798665481716
"8",5.54480185274523
"9",4.40738799806838
"10",5.75515361249796
