"","metrics","values"
"1","Rsqrd","0.733768176204332"
"2","RMSE","123.291806360069"
"3","RPSS","0.424232075861509"
"4","HR-L","0.7"
"5","HR-M","0.6"
"6","HR-H","0.5"
"7","BE<0?","N"
"8","PB<0?","Y"
"9","FD 100-90","1"
"10","FD 90-70","5"
"11","FD 70-BE","12"
"12","FD BE-30","8"
"13","FD 30-10","2"
"14","FD 10-0","2"
"15","Max Abs Err","340.009266319024"
"16","Year of max","2005"
"17","Max Rel Err","231.863795852724"
"18","Year of max","2013"
