"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.785793877873013,0.733768176204332
"2","RMSE",110.479767396976,123.291806360069
"3","HR-L",0.8,0.7
"4","HR-M",0.6,0.6
"5","HR-H",0.6,0.5
