"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.720145435392713,0.662480411258507
"2","RMSE",133.165328002846,141.221024041903
"3","HR-L",0.6,0.6
"4","HR-M",0.6,0.5
"5","HR-H",0.6,0.6
