"","model_names","y90","y70","frwrd_prd","y30","y10"
"1","PCR-BC",158.651977975938,252.430123536634,329.732001663023,417.187976866808,561.602478757385
"2","PCQR",227.471356073133,267.186202199814,327.6407116047,368.248911353872,615.144252802162
"3","PCANN-BC",155.32209317704,230.309507120922,302.395753973349,397.043591460565,588.72195931714
"4","PCMCQRNN",137.752330065213,215.054978359912,292.358145900877,369.661433009572,446.964440004992
"5","PCSVM-BC",106.13859080285,163.65504707752,220.764522974677,297.801970267982,459.172313952748
"6","PCRF-BC",184.801693827546,263.860407340722,337.515707,431.730437999801,616.418360366795
"7","ensemble",146.003676968162,218.219984974769,288.258532462226,374.05935818448,527.819268410419
