"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.661076677760794,0.605512059161741
"2","RMSE",6.77985038792964,7.50200997859799
"3","HR-L",0.6,0.6
"4","HR-M",0.8,0.7
"5","HR-H",0.6,0.6
