"","year","prd_PCR","res_PCR","prd_PCR_LOOCV","res_PCR_LOOCV","obs","y90_PCR_BCbased","y70_PCR_BCbased","y30_PCR_BCbased","y10_PCR_BCbased","Ymod_PCR_BC_1","Ymod_PCR_BC_2","Ymod_PCR_BC_3"
"1",1986,27.8769708598449,-9.12863914015507,27.5420001280555,-9.46360987194449,37.00561,20.2638759389415,24.4695728922515,31.7588282354073,38.3501292343469,0.220593654532429,0.814273682385527,0.999422285588802
"2",1987,26.1692209024228,3.13516090242279,26.2971613004101,3.26310130041012,23.03406,19.0224902773041,22.9705531897879,29.8132848386203,36.0008208475027,0.279512000127471,0.859851781776907,0.999704333037878
"3",1988,24.9958855236204,7.19225552362044,25.3178231881493,7.51419318814933,17.80363,18.1695781360333,21.9406293838257,28.4765694979422,34.3866919132468,0.332961789908169,0.891062080187006,0.999833452288246
"4",1989,24.2622273826719,-1.95727261732813,24.0947314854021,-2.12476851459786,26.2195,17.6362731349583,21.2966431500101,27.6407536616609,33.3774157570663,0.407984826403877,0.923815502877189,0.999923797761025
"5",1990,26.781543155003,3.28931315500302,27.100120928064,3.60789092806397,23.49223,19.4675951705654,23.5080341114968,30.5108691891261,36.8431772943727,0.240348615819419,0.831161143883565,0.999541240926926
"6",1991,21.5373922701703,3.70400227017034,21.8770984820779,4.04370848207785,17.83339,15.6555593437762,18.904853956363,24.536499644197,29.6289209279379,0.561724276050411,0.965566233148618,0.999985113295801
"7",1992,23.441226749673,3.86237674967296,23.7246776845757,4.14582768457566,19.57885,17.0394780676874,20.5759900484133,26.7054332311246,32.247984126026,0.432299292529897,0.932336639183294,0.999940778577451
"8",1993,18.9787292672204,-6.41170073277964,17.2585555241387,-8.13187447586134,25.39043,13.7956409433145,16.6589277795721,21.6215544132536,26.1090197112676,0.866164121388622,0.997217646743421,0.999999853807433
"9",1994,19.3555762331327,2.40284623313274,19.5706762868704,2.61794628687041,16.95273,14.0695746748963,16.9897139036795,22.0508757369399,26.6274408716642,0.726786187012711,0.988306943545364,0.999998108596947
"10",1995,26.6058656829746,6.61248568297464,27.181734918927,7.18835491892701,19.99338,19.3398929508458,23.3538288816136,30.3107297212578,36.6015022049409,0.236604409891099,0.828098452931919,0.99952100524777
"11",1996,46.0998560072035,-12.1249339927964,44.2739790072775,-13.9508109927225,58.22479,33.5103808794924,40.4651863776811,52.5191017863512,63.4187914051041,0.00370182772955682,0.155249596252786,0.910158163687166
"12",1997,66.9381695916328,5.11932959163278,72.8137086566665,10.9948686566665,61.81884,48.658167269605,58.7566024191168,76.2589264853096,92.0852572373811,1.44969305232025e-06,0.00128966543749492,0.255278265813074
"13",1998,39.2117203654566,2.74362036545659,39.5028832233163,3.03478322331626,36.4681,28.5032756235929,34.4189404678745,44.6718557024358,53.943014046069,0.0132156414897892,0.289149797400621,0.964072410748701
"14",1999,34.967579433963,-2.892910566037,34.5811024058918,-3.27938759410821,37.86049,25.4181415984314,30.6935346441999,39.8367530209388,48.1044809615213,0.0459969094254783,0.491611926783775,0.990225087950077
"15",2000,36.9059496017062,-6.65107039829375,36.5376269061747,-7.01939309382531,43.55702,26.8271733474878,32.3949895261975,42.0450256744053,50.7710377863423,0.0283134589378021,0.404299405496981,0.98272829955013
"16",2001,23.3169252032864,5.76916520328636,23.8370238900817,6.28926389008167,17.54776,16.949121827495,20.4668813805091,26.5638233666727,32.0769853114352,0.42484598723601,0.929817613844455,0.999936016524538
"17",2002,26.2922188242759,8.09188882427594,27.2985170070483,9.09818700704833,18.20033,19.111899032345,23.0785176364595,29.9534094697072,36.1700260407294,0.231322249338049,0.823671050692522,0.999490722944249
"18",2003,24.7290419202744,6.16177192027437,25.1109532121112,6.5436832121112,18.56727,17.9756062602661,21.7064009247949,28.1725694661594,34.0196015235059,0.345030233816085,0.897095244561691,0.999853310547308
"19",2004,26.4830041472616,3.32399414726157,26.8588293923713,3.69981939237131,23.15901,19.2505833228194,23.2459841444728,30.1707604762817,36.4324846612012,0.251672955076348,0.84006157492118,0.999596839497614
"20",2005,17.9866422997239,-2.01863770027611,17.7790217353016,-2.22625826469842,20.00528,13.0744836035726,15.7881007105274,20.4913232803081,24.7442240013117,0.838674163965753,0.996010639082894,0.999999726252557
"21",2006,40.2867119258168,9.52505192581675,41.8336659200023,11.0720059200023,30.76166,29.284704921247,35.3625428077696,45.8965305473524,55.4218452543719,0.00713808872433145,0.215848033540871,0.941747313691676
"22",2007,32.8067405627205,-1.51722943727952,32.7466380336977,-1.57733196630227,34.32397,23.8473950589827,28.7968026615007,37.3750339088816,45.1318784283723,0.0713391902056172,0.578499346237599,0.994674736136706
"23",2008,31.7112400757781,-3.87222992422193,31.0846026613792,-4.49886733862075,35.58347,23.0510596561202,27.8351991414074,36.1269930529033,43.6248296341167,0.104461752526805,0.658148191421625,0.997139161118116
"24",2009,27.8236234126294,-6.28414658737059,27.592941517425,-6.51482848257499,34.10777,20.2250969701203,24.4227458452941,31.6980525015683,38.2767405307217,0.218397406908255,0.812279714528232,0.999407015342259
"25",2010,26.0975771421946,3.94814714219461,26.2592495951642,4.1098195951642,22.14943,18.9704115186203,22.9076661210245,29.7316651209026,35.9022622971787,0.281465619216515,0.861139321055867,0.999710597969179
"26",2011,33.1976531878771,-5.81722681212292,32.9660230872418,-6.04885691275817,39.01488,24.1315552756308,29.139936239863,37.8203781816336,45.6696456237214,0.0677542966185905,0.567973903982495,0.994249938737459
