"","year","prd_PCSVM","res_PCSVM","prd_PCSVM_LOOCV","res_PCSVM_LOOCV","obs","y90_PCSVM","y70_PCSVM","y30_PCSVM","y10_PCSVM","Ymod_PCSVM_1","Ymod_PCSVM_2","Ymod_PCSVM_3"
"1",1986,30.2255226189611,-6.7800873810389,28.9676671676832,-8.0379428323168,37.00561,21.0284385428014,26.4663400480503,33.9847051898719,39.4226066951208,0.192642192623462,0.775569786620477,0.999997666109666
"2",1987,25.807269203019,2.77320920301904,25.8456244740734,2.81156447407344,23.03406,16.6101851268594,22.0480866321082,29.5664517739299,35.0043532791787,0.332502640042101,0.883468164087867,0.999999733974447
"3",1988,23.6258064327827,5.82217643278265,25.7557281183901,7.95209811839011,17.80363,14.428722356623,19.8666238618718,27.3849890036935,32.8228905089423,0.337066604366479,0.885905078149756,0.999999750776299
"4",1989,22.1182433371254,-4.10125666287464,22.2698273852204,-3.94967261477957,26.2195,12.9211592609657,18.3590607662145,25.8774259080362,31.315327413285,0.526081978099858,0.954576017556661,0.999999982343153
"5",1990,26.4494139281261,2.9571839281261,26.4637167869414,2.97148678694141,23.49223,17.2523298519664,22.6902313572153,30.2085964990369,35.6464980042858,0.301821032476222,0.865711800712201,0.999999585092553
"6",1991,21.7437697110717,3.91037971107175,21.749110548625,3.915720548625,17.83339,12.5466856349121,17.9845871401609,25.5029522819826,30.9408537872314,0.55488304406952,0.961094034942035,0.999999988341852
"7",1992,21.8188274312546,2.23997743125463,21.8614442390522,2.28259423905222,19.57885,12.621743355095,18.0596448603438,25.5780100021654,31.0159115074143,0.548689008473335,0.959756461628898,0.999999987244126
"8",1993,19.5663299220341,-5.82410007796586,16.9669595270863,-8.42347047291367,25.39043,10.3692458458745,15.8071473511233,23.325512492945,28.7634139981938,0.789475264682072,0.992453065843841,0.999999999797377
"9",1994,18.0289544112688,1.07622441126875,18.033660166754,1.08093016675403,16.95273,8.83187033510908,14.2697718403579,21.7881369821796,27.2260384874284,0.74405972770458,0.98873847518658,0.99999999948051
"10",1995,25.6890405613935,5.69566056139353,25.7434071182526,5.75002711825257,19.99338,16.4919564852339,21.9298579904827,29.4482231323043,34.8861246375532,0.33769402344828,0.88623622672343,0.999999752997812
"11",1996,52.4010701425062,-5.82371985749376,47.1840672268248,-11.0407227731752,58.22479,43.2039860663466,48.6418875715954,56.1602527134171,61.5981542186659,0.000327898959670705,0.0373824184652283,0.979323359831054
"12",1997,55.9950560870936,-5.82378391290644,50.7422251289861,-11.0766148710139,61.81884,46.7979720109339,52.2358735161827,59.7542386580044,65.1921401632532,4.74253409811632e-05,0.0113667722533069,0.938704812341914
"13",1998,42.2964383680641,5.82833836806409,42.4686983631887,6.00059836318869,36.4681,33.0993542919044,38.5372557971533,46.0556209389749,51.4935224442238,0.00297852055912454,0.130375134716662,0.996504315148938
"14",1999,33.8834673606299,-3.9770226393701,33.8895965552823,-3.9708934447177,37.86049,24.6863832844702,30.1242847897191,37.6426499315407,43.0805514367896,0.0600590036204174,0.528396078795293,0.999950517043379
"15",2000,45.3693192802682,1.81229928026818,45.4625945556483,1.90557455564825,43.55702,36.1722352041085,41.6101367093574,49.128501851179,54.5664033564279,0.000768879354335131,0.0615435058620449,0.98869407578215
"16",2001,23.3758976205098,5.82813762050976,25.2175401741535,7.66978017415348,17.54776,14.1788135443501,19.6167150495989,27.1350801914206,32.5729816966694,0.36487311126324,0.899736920405588,0.999999831895209
"17",2002,24.0270870578067,5.82675705780666,24.2963455954116,6.0960155954116,18.20033,14.830002981647,20.2679044868958,27.7862696287175,33.2241711339663,0.414082362761278,0.920502714049609,0.999999915398783
"18",2003,22.6781468049847,4.1108768049847,22.6912655760191,4.12399557601913,18.56727,13.481062728825,18.9189642340739,26.4373293758955,31.8752308811444,0.502664656233419,0.948680945175751,0.999999975385248
"19",2004,24.5394227087769,1.38041270877688,24.6396942251337,1.48068422513373,23.15901,15.3423386326172,20.7802401378661,28.2986052796877,33.7365067849366,0.395537076202035,0.913180102704337,0.999999890520059
"20",2005,17.8400241210241,-2.16525587897589,17.8734694064282,-2.13181059357176,20.00528,8.64294004486443,14.0808415501133,21.5992066919349,27.0371081971838,0.751190748011385,0.989381904146134,0.999999999548382
"21",2006,36.589801501479,5.82814150147895,40.6282751327787,9.86661513277872,30.76166,27.3927174253193,32.8306189305681,40.3489840723898,45.7868855776386,0.00632281215535457,0.192675460497639,0.998430539559919
"22",2007,40.1532273441554,5.82925734415539,40.7902908322468,6.46632083224681,34.32397,30.9561432679957,36.3940447732446,43.9124099150662,49.3503114203151,0.00593172736468319,0.186554996232613,0.998311786742424
"23",2008,29.7568585612149,-5.8266114387851,26.2843010817204,-9.29916891827957,35.58347,20.5597744850552,25.9976759903041,33.5160411321257,38.9539426373746,0.31059621374437,0.871047362048044,0.999999635043184
"24",2009,29.235142251909,-4.87262774809097,29.2649453194723,-4.8428246805277,34.10777,20.0380581757494,25.4759596809982,32.9943248228199,38.4322263280687,0.181506447447534,0.762966669420457,0.999997157155853
"25",2010,25.6907221364502,3.5412921364502,25.7221255019258,3.57269550192577,22.14943,16.4936380602905,21.9315395655394,29.449904707361,34.8878062126099,0.338778804003486,0.886806593046146,0.999999756790045
"26",2011,39.6326644468258,0.61778444682583,39.6152210530901,0.600341053090069,39.01488,30.4355803706662,35.873481875915,43.3918470177366,48.8297485229855,0.00932673455619354,0.233653514531968,0.999015958700924
"27",2012,37.4429331806182,-5.83441681938184,36.492771980517,-6.78457801948296,43.27735,28.2458491044585,33.6837506097073,41.202115751529,46.6400172567778,0.0276100541775941,0.385287359358269,0.999792417537081
"28",2013,38.2694156713195,5.66511567131946,38.2313209194232,5.62702091942322,32.6043,29.0723315951598,34.5102331004086,42.0285982422303,47.4664997474791,0.0154064683279878,0.29668355077211,0.999495332372808
"29",2014,28.7250401562549,-5.82900984374506,13.5867632106589,-20.9672867893411,34.55405,19.5279560800953,24.9658575853441,32.4842227271658,37.9221242324146,0.898982325194285,0.998141858790883,0.999999999991109
"30",2015,33.5821412590167,5.82546125901667,35.4262607907251,7.66958079072507,27.75668,24.385057182857,29.8229586881058,37.3413238299275,42.7792253351763,0.0384905820380239,0.44316085161951,0.999882885644225
