"","metrics","values"
"1","Rsqrd","0.605512059161741"
"2","RMSE","7.50200997859799"
"3","RPSS","0.363605442176871"
"4","HR-L","0.6"
"5","HR-M","0.7"
"6","HR-H","0.6"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","3"
"10","FD 90-70","6"
"11","FD 70-BE","7"
"12","FD BE-30","5"
"13","FD 30-10","6"
"14","FD 10-0","3"
"15","Max Abs Err","18.1092624034295"
"16","Year of max","2014"
"17","Max Rel Err","58.2270291588157"
"18","Year of max","2002"
