"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.813089226308684,0.63305166763674
"2","RMSE",5.31000422001638,7.03006864235498
"3","HR-L",0.2,0.2
"4","HR-M",0.6,0.5
"5","HR-H",0.6,0.6
