"","model_names","y90","y70","frwrd_prd","y30","y10"
"1","PCR-BC",24.6620682838927,29.7805495014533,33.9274674789497,38.6518135576909,46.673629820811
"2","PCQR",25.2959160863267,29.6653470972532,31.7756964330145,40.1329381709644,45.3587724813991
"3","PCANN-BC",24.6718164313797,30.0038966022564,34.349540734055,39.3245610306034,47.8232176923315
"4","PCMCQRNN",25.7566741288778,29.8193429079768,33.8836049896373,37.949152247004,42.0156761629225
"5","PCSVM-BC",26.8988829041712,32.192939129471,36.4501546843557,41.2703211235768,49.3927108034119
"6","PCRF-BC",29.6050477958612,35.5262727427894,40.2984693693333,45.7116789859144,54.8541691232672
"7","ensemble",26.1484009384182,31.1647246635333,35.1141556148909,40.506744185959,47.6863626806905
