"","year","prd_PCRF","res_PCRF","prd_PCRF_LOOCV","res_PCRF_LOOCV","obs","y90_PCRF","y70_PCRF","y30_PCRF","y10_PCRF","Ymod_PCRF_1","Ymod_PCRF_2","Ymod_PCRF_3"
"1",1986,33.1192197936667,-3.88639020633332,29.5102180276667,-7.49539197233332,37.00561,23.0272923331532,28.994282204502,37.2441573828313,43.2111472541802,0.194856046461724,0.732780502235744,0.999979717351783
"2",1987,22.8522608046666,-0.181799195333383,22.7474776506667,-0.286582349333347,23.03406,12.7603333441531,18.727323215502,26.9771983938313,32.9441882651801,0.499579656305028,0.93060741367323,0.999999653512412
"3",1988,20.6188829873333,2.81525298733332,24.5708367509999,6.76720675099995,17.80363,10.5269555268198,16.4939453981687,24.743820576498,30.7108104478468,0.408005335097937,0.894113457137446,0.999998886745562
"4",1989,26.5441776586666,0.324677658666641,27.932387139,1.712887139,26.2195,16.4522501981531,22.419240069502,30.6691152478313,36.6361051191802,0.254721824411514,0.794370340094293,0.99999163831524
"5",1990,28.683417417,5.19118741699998,31.994865517,8.50263551700003,23.49223,18.5914899564865,24.5584798278353,32.8083550061646,38.7753448775135,0.119843418411042,0.620050662850223,0.999924252474071
"6",1991,19.0961365336666,1.26274653366664,20.8271874656666,2.99379746566663,17.83339,9.00420907315313,14.971198944502,23.2210741228313,29.1880639941802,0.595952791610811,0.95767033918703,0.999999904175691
"7",1992,19.8757105073333,0.296860507333349,20.8312779363333,1.25242793633332,19.57885,9.78378304681983,15.7507729181687,24.000648096498,29.9676379678469,0.595751505208954,0.957623437260272,0.999999903907086
"8",1993,23.507605721,-1.88282427900002,22.874311136,-2.51611886400005,25.39043,13.4156782604865,19.3826681318353,27.6325433101646,33.5995331815135,0.49315225849366,0.928432825865761,0.999999623576578
"9",1994,18.68522396,1.73249396,20.3011500883333,3.34842008833334,16.95273,8.59329649948649,14.5602863708354,22.8101615491647,28.7771514205135,0.621608790261988,0.963360776884351,0.999999933289797
"10",1995,24.626222239,4.63284223899998,27.918011932,7.924631932,19.99338,14.5342947784865,20.5012846498353,28.7511598281646,34.7181496995135,0.255308225649511,0.794889741980844,0.999991707014316
"11",1996,47.699851196,-10.524938804,37.0161503723333,-21.2086396276667,58.22479,37.6079237354865,43.5749136068354,51.8247887851647,57.7917786565135,0.0348669776468428,0.369849816117102,0.999185715399038
"12",1997,52.9821879256667,-8.83665207433335,43.1865187336667,-18.6323212663333,61.81884,42.8902604651531,48.857250336502,57.1071255148313,63.0741153861802,0.00469565917948694,0.132192499433554,0.991031237276563
"13",1998,39.9831348689999,3.51503486899995,42.0949985213333,5.62689852133332,36.4681,29.8912074084864,35.8581972798353,44.1080724581646,50.0750623295135,0.00696987442675211,0.164178524924021,0.993887177289939
"14",1999,35.4648151739999,-2.39567482600008,32.925517919,-4.93497208100001,37.86049,25.3728877134864,31.3398775848353,39.5897527631646,45.5567426345134,0.0978339630279006,0.574322962359253,0.99987890634242
"15",2000,39.81586445,-3.74115555000002,35.373287354,-8.183732646,43.55702,29.7239369894865,35.6909268608353,43.9408020391646,49.9077919105135,0.0542536869386004,0.450833973046334,0.999609493274118
"16",2001,21.123455465,3.57569546500001,25.6496558103333,8.1018958103333,17.54776,11.0315280044865,16.9985178758354,25.2483930541647,31.2153829255135,0.355794150314421,0.866857808534409,0.999997832639113
"17",2002,22.365872519,4.16554251899996,25.8122739949999,7.61194399499994,18.20033,12.2739450584865,18.2409349298353,26.4908101081646,32.4577999795135,0.348127216426004,0.86236404425574,0.999997607434488
"18",2003,19.9559117353333,1.38864173533335,21.3870375813333,2.81976758133333,18.56727,9.86398427481983,15.8309741461687,24.080849324498,30.0478391958469,0.568189284657261,0.950849813441995,0.99999985978197
"19",2004,23.2203691433333,0.0613591433333305,23.6083360486666,0.449326048666585,23.15901,13.1284416828198,19.0954315541687,27.345306732498,33.3122966038468,0.456041951463896,0.914808367776753,0.999999394915506
"20",2005,19.0821492596667,-0.923130740333331,18.982276486,-1.02300351399999,20.00528,8.99022179915315,14.957211670502,23.2070868488313,29.1740767201802,0.683407316699575,0.97492204964797,0.999999973601485
