"","metrics","values"
"1","Rsqrd","0.54621931536298"
"2","RMSE","7.7604014118818"
"3","RPSS","0.237928486757209"
"4","HR-L","0.5"
"5","HR-M","0.6"
"6","HR-H","0.4"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","1"
"10","FD 90-70","7"
"11","FD 70-BE","9"
"12","FD BE-30","5"
"13","FD 30-10","6"
"14","FD 10-0","2"
"15","Max Abs Err","14.6539446237408"
"16","Year of max","2014"
"17","Max Rel Err","42.4087614150607"
"18","Year of max","2014"
