"","year","prd_PCMCQRNN","res_PCMCQRNN","prd_PCMCQRNN_LOOCV","res_PCMCQRNN_LOOCV","obs","y90_PCMCQRNN","y70_PCMCQRNN","y30_PCMCQRNN","y10_PCMCQRNN","Ymod_PCMCQRNN_1","Ymod_PCMCQRNN_2","Ymod_PCMCQRNN_3"
"result.1",1986,27.9584184115637,-9.04719158843628,27.3836756225166,-9.62193437748343,37.00561,19.8367874822112,23.8965821169285,32.0219889754516,36.0869858916694,0.285714285714286,0.80952380952381,1
"result.2",1987,26.3253707037848,3.29131070378483,26.4095526030734,3.37549260307339,23.03406,18.2054308020923,22.2643182234547,30.3882810901525,34.4527416660029,0.333333333333333,0.857142857142857,1
"result.3",1988,25.1879307332677,7.38430073326774,25.4927263812185,7.68909638121855,17.80363,17.0692274452564,21.12745360972,29.2503518374342,33.3144093541335,0.428571428571429,0.952380952380952,1
"result.4",1989,24.3877816687116,-1.83171833128839,24.3543025950705,-1.86519740492947,26.2195,16.2699772165328,20.3277237617587,28.4498440860215,32.513603554426,0.428571428571429,0.952380952380952,1
"result.5",1990,27.0021437138207,3.50991371382068,27.0590236897951,3.56679368979513,23.49223,18.881490936677,22.9407603605556,31.0653337431949,35.1300226472561,0.333333333333333,0.857142857142857,1
"result.6",1991,21.8922121338763,4.05882213387629,22.0961827517728,4.26279275177277,17.83339,13.777364460246,17.833538491551,25.9530789553839,30.0158318594446,0.571428571428571,1,1
"result.7",1992,23.7290536105727,4.15020361057271,24.2758461488099,4.69699614880992,19.57885,15.6120070573789,19.6693497976603,27.7908117520826,31.8543168552321,0.476190476190476,1,1
"result.8",1993,19.1930870478688,-6.19734295213124,18.0647110813887,-7.32571891861135,25.39043,11.0816988371239,15.1360414609841,23.2525296590832,27.3140626297629,0.666666666666667,1,1
"result.9",1994,19.7508645429222,2.79813454292219,19.7675625485298,2.81483254852983,16.95273,11.6387391550911,15.693471367742,23.8106126366765,27.8724088915491,0.666666666666667,1,1
"result.10",1995,26.6494358960769,6.6560558960769,26.9622229019818,6.96884290198185,19.99338,18.5291525095378,22.5882239138541,30.7124812549038,34.7770522328191,0.333333333333333,0.857142857142857,1
"result.11",1996,45.6641635979332,-12.5606264020668,43.4157547551276,-14.8090352448724,58.22479,37.5305886892716,41.5970263209153,49.7316915200368,53.799300968195,0,0,1
"result.12",1997,65.8849229842489,4.06608298424894,76.5619135523406,14.7430735523406,61.81884,57.7520308842396,61.8188953836809,69.9498050228648,74.0132331844195,0,0,0.285714285714286
"result.13",1998,39.0354679686622,2.56736796866215,39.1660464591034,2.69794645910342,36.4681,30.9049939695076,34.9696295752524,43.1022005441407,47.1695184243966,0,0.285714285714286,1
"result.14",1999,34.7287458612614,-3.1317441387386,34.578976642804,-3.28151335719602,37.86049,26.6011658244417,30.6641912033401,38.7945215825129,42.8612097805381,0,0.476190476190476,1
"result.15",2000,36.7393093955291,-6.81771060447091,36.4182418797453,-7.1387781202547,43.55702,28.6102921557508,32.6741123228266,40.8055749630708,44.872600290071,0,0.380952380952381,1
"result.16",2001,23.6264231231899,6.07866312318985,23.9567482052095,6.40898820520952,17.54776,15.5094961089537,19.5667752079121,27.6881331276962,31.7515978690751,0.476190476190476,1,1
"result.17",2002,26.3192219920795,8.11889199207954,27.7276886041171,9.5273586041171,18.20033,18.19928864544,22.2581725570437,30.3821297985408,34.4465882606557,0.333333333333333,0.857142857142857,1
"result.18",2003,24.9696484625569,6.40237846255695,25.10318498262,6.53591498262003,18.56727,16.8511880094651,20.9092845164459,29.0319729036472,33.0959503009592,0.428571428571429,0.952380952380952,1
"result.19",2004,26.5110038271687,3.35199382716865,26.6986899161813,3.53967991618133,23.15901,18.3908666888471,22.4498597400243,30.5739917695687,34.6385158271334,0.333333333333333,0.857142857142857,1
"result.20",2005,18.4251700324543,-1.5801099675457,18.3315238791725,-1.67375612082753,20.00528,10.3148157104772,14.3686124878536,22.4841825533566,26.5453435160376,0.714285714285714,1,1
"result.21",2006,39.895243235616,9.13358323561599,42.4780757157356,11.7164157157356,30.76166,31.7642744216717,35.8291900457839,43.9621253203147,48.0295273771518,0,0.238095238095238,1
"result.22",2007,32.7311027560964,-1.59286724390361,32.6983941951523,-1.62557580484766,34.32397,24.6051001331274,28.6672611530187,36.7963169431612,40.8625952982278,0.0476190476190476,0.571428571428571,1
"result.23",2008,31.5498405386898,-4.03362946131017,30.9450305313921,-4.63843946860791,35.58347,23.4248407656301,27.4864556481862,35.6146875765762,39.6806884573656,0.0952380952380952,0.619047619047619,1
"result.24",2009,27.9263897462025,-6.18138025379746,27.5156555428151,-6.59211445718495,34.10777,19.8047910259663,23.8645683456375,31.9899478415143,36.0549347184345,0.285714285714286,0.80952380952381,1
"result.25",2010,26.2554406413055,4.10601064130549,26.3277364414412,4.17830644144119,22.14943,18.1355753742539,22.1944228371252,30.3183216443804,34.382758138712,0.380952380952381,0.904761904761905,1
"result.26",2011,33.1407470839224,-5.87413291607762,32.6984682498526,-6.31641175014745,39.01488,25.0144088496677,29.0767531848454,37.2060825014651,41.2724509846663,0.0476190476190476,0.571428571428571,1
"result.27",2012,33.8836049896373,-9.39374501036271,33.0305970607466,-10.2467529392534,43.27735,25.7566741288778,29.8193429079768,37.949152247004,42.0156761629225,0,0.523809523809524,1
"result.28",2013,32.4453662673484,-0.15893373265159,32.4290813580855,-0.175218641914512,32.6043,24.3196014492577,28.3816327495902,36.5104940361446,40.5767076662403,0.0476190476190476,0.571428571428571,1
"result.29",2014,21.1637906126279,-13.3902593873721,18.8707012172928,-15.6833487827072,34.55405,13.0498497832225,17.1055429394756,25.2242864998976,29.2867236171303,0.619047619047619,1,1
"result.30",2015,34.8611827478533,7.10450274785331,35.7994869399292,8.04280693992922,27.75668,26.7335033990233,30.7965834510328,38.9269930602376,42.9937057911204,0,0.476190476190476,1
