"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.69762936222892,0.598243162793422
"2","RMSE",6.30990726563856,7.49406548366856
"3","HR-L",0.3,0.3
"4","HR-M",0.8,0.7
"5","HR-H",0.5,0.5
