"","metrics","values"
"1","Rsqrd","0.573530496042819"
"2","RMSE","9.02241812514093"
"3","RPSS","0.17506180996296"
"4","HR-L","0.3"
"5","HR-M","0.7"
"6","HR-H","0.5"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","1"
"10","FD 90-70","10"
"11","FD 70-BE","5"
"12","FD BE-30","8"
"13","FD 30-10","5"
"14","FD 10-0","1"
"15","Max Abs Err","13.656839114089"
"16","Year of max","2014"
"17","Max Rel Err","41.8687616279192"
"18","Year of max","2006"
