"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.726513556242581,0.573530496042819
"2","RMSE",5.99175166595578,9.02241812514093
"3","HR-L",0.5,0.3
"4","HR-M",0.7,0.7
"5","HR-H",0.5,0.5
