"","metrics","values"
"1","Rsqrd","0.598243162793422"
"2","RMSE","7.49406548366856"
"3","RPSS","0.293877551020408"
"4","HR-L","0.3"
"5","HR-M","0.7"
"6","HR-H","0.5"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","2"
"10","FD 90-70","8"
"11","FD 70-BE","6"
"12","FD BE-30","5"
"13","FD 30-10","5"
"14","FD 10-0","4"
"15","Max Abs Err","13.957377111807"
"16","Year of max","2014"
"17","Max Rel Err","45.8052997278373"
"18","Year of max","2002"
