"","year","obs","res_PCR","res_PCQR","res_PCANN","res_PCRF","res_PCMCQRNN","res_PCSVM","res_ensemble","res_PCR_LOOCV","res_PCQR_LOOCV","res_PCANN_LOOCV","res_PCRF_LOOCV","res_PCMCQRNN_LOOCV","res_PCSVM_LOOCV","res_ensemble_LOOCV"
"1",1986,37.00561,-9.12863914015507,-9.71998012445124,-10.9352154271279,-3.60253013400003,-9.22215940798486,-6.7800873810389,-8.23143526912633,-9.46360987194449,-9.71998012445124,-11.9165145758109,-7.29633098499998,-9.57657714224912,-8.0379428323168,-9.33515925529542
"2",1987,23.03406,3.13516090242279,1.79958121938654,0.961985566109089,-0.283522132000055,3.03892359032773,2.77320920301904,1.90422305821086,3.26310130041012,2.3690357448278,1.82568839992075,0.361731277333355,3.33389803410799,2.81156447407344,2.32750320511225
"3",1988,17.80363,7.19225552362044,5.82292507636629,4.88339228620689,2.58393320866666,7.13772422308046,5.82217643278265,5.5737344584539,7.51419318814933,6.44555439200094,5.69938207896494,6.46044323499995,7.55578721024766,7.95209811839011,6.93790970379216
"4",1989,26.2195,-1.95727261732813,-0.622836680326106,-4.18269295245265,0.38546778799995,-1.74041337137254,-4.10125666287464,-2.03650074939235,-2.12476851459786,-0.62283668032611,-3.72410833354577,2.35889144099999,-1.75307380488344,-3.94967261477957,-1.63592808452212
"5",1990,23.49223,3.28931315500302,-0.572551578170188,2.03267042562769,4.09889974733331,2.94251756840472,2.9571839281261,2.45800554105411,3.60789092806397,-1.48792351895316,0.960076952883359,8.07122426866671,3.69281204215402,2.97148678694141,2.96926124329272
"6",1991,17.83339,3.70400227017034,0.518572592812152,2.17418070804328,1.19649614966666,3.62105165521486,3.91037971107175,2.5207805144965,4.04370848207785,1.29538040826936,3.84399506424323,2.69174293699994,4.17003412987294,3.915720548625,3.32676359501472
"7",1992,19.57885,3.86237674967296,0.979279788702378,2.00101233111551,0.102073909333328,3.73177662870827,2.23997743125463,2.15274947313118,4.14582768457566,1.66413713139885,2.65985812320823,1.27298796966666,4.62720984616464,2.28259423905222,2.77543583234437
"8",1993,25.39043,-6.41170073277964,-2.92078062937462,-7.2599799978823,-1.68754903800004,-5.79266679172256,-5.82410007796586,-4.9827962112875,-8.13187447586134,-2.92078062937462,-7.54808329852714,-2.55937730900004,-7.68693694922166,-8.42347047291367,-6.21175385581642
"9",1994,16.95273,2.40284623313274,0,1.08208764751783,1.67991324500003,2.47761428941993,1.07622441126875,1.45311430438988,2.61794628687041,0.960628676412654,2.55101907068356,3.43865598666666,2.85553661799921,1.08093016675403,2.25078613423109
"10",1995,19.99338,6.61248568297464,8.32720603036025,4.82756631193764,4.31700853999995,6.77428510232977,5.69566056139353,6.09236870483263,7.18835491892701,8.89009929852345,5.53460906964008,7.81068039666664,7.14594627918342,5.75002711825257,7.05328618019886
"11",1996,58.22479,-12.1249339927964,-12.9219738700323,-6.68430179796307,-10.4471889303333,-12.8759274467029,-5.82371985749376,-10.1463409825536,-13.9508109927225,-14.7928854131601,-13.1529914444975,-21.7971798613333,-14.8484127642946,-11.0407227731752,-14.9305005415305
"12",1997,61.81884,5.11932959163278,5.11978833604442,0.349620935857338,-8.90561779733337,3.75568492051632,-5.82378391290644,-0.0641629876981611,10.9948686566665,12.750568483706,-9.25681473490095,-18.5048333263333,14.114348765674,-11.0766148710139,-0.163079504366934
"13",1998,36.4681,2.74362036545659,0,6.69025045665692,3.26661787800001,2.05006081831376,5.82833836806409,3.42981464774856,3.03478322331626,-1.62829779285092,9.93384753339972,5.84185316766668,2.71653989618628,6.00059836318869,4.31655406515112
"14",1999,37.86049,-2.892910566037,0,-1.68828662010378,-2.25230249766678,-2.92955615537986,-3.9770226393701,-2.29001307975958,-3.27938759410821,0.428893796356796,-4.03045234283417,-5.0685386693334,-3.16599653742786,-3.9708934447177,-3.18106246534409
"15",2000,43.55702,-6.65107039829375,-7.67049978016114,-3.87738335397498,-4.51220642633333,-7.10890849667614,1.81229928026818,-4.6679615291952,-7.01939309382531,-8.72206671729594,-5.10635002851885,-8.93835730000001,-7.41774891822729,1.90557455564825,-5.88305691703653
"16",2001,17.54776,5.76916520328636,2.33637155700345,4.15582824021012,3.37567722100001,5.59399250502841,5.82813762050976,4.50986205783968,6.28926389008167,3.04444672435468,5.08901088742348,8.23647802466667,6.63369890869805,7.66978017415348,6.16044643489634
"17",2002,18.20033,8.09188882427594,10.5975114561007,6.47850817664592,4.46135491266661,8.33671570795548,5.82675705780666,7.29878935590855,9.09818700704833,11.1995515632774,10.2221305453758,7.56190188466664,9.43390865471677,6.0960155954116,8.93528254174943
"18",2003,18.56727,6.16177192027437,3.5488174717305,4.1868058065404,1.32485593599998,6.00562179614011,4.1108768049847,4.22312495594501,6.5436832121112,4.16934455395778,6.33601718065885,2.94949443466665,6.86305693433508,4.12399557601913,5.16426531529145
