"","Postprocessed_Prediction_Bound_Information","Estimated_Value"
"1","optimal Box-Cox lambda, PCR",4.10225926326142e-05
"2","Box-Cox space LOOCV RMSE, PCR",0.24883198071114
"3","optimal Box-Cox lambda, PCANN",4.10225926326142e-05
"4","Box-Cox space LOOCV RMSE, PCANN",0.255855944157476
"5","optimal Box-Cox lambda, PCSVM",0.3422024110911
"6","Box-Cox space LOOCV RMSE, PCSVM",0.807513821878721
"7","optimal Box-Cox lambda, PCRF",0.102200197573064
"8","Box-Cox space LOOCV RMSE, PCRF",0.34143640447214
