"","metrics","values"
"1","Rsqrd","0.545642108597111"
"2","RMSE","7.921254168366"
"3","RPSS","0.335484643191786"
"4","HR-L","0.5"
"5","HR-M","0.7"
"6","HR-H","0.5"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","0"
"10","FD 90-70","4"
"11","FD 70-BE","12"
"12","FD BE-30","10"
"13","FD 30-10","3"
"14","FD 10-0","1"
"15","Max Abs Err","10.4471889303333"
"16","Year of max","1996"
"17","Max Rel Err","24.5124946232657"
"18","Year of max","2002"
