"","metrics","values"
"1","Rsqrd","0.618898892875178"
"2","RMSE","7.21067998776669"
"3","RPSS","0.193791214604246"
"4","HR-L","0.3"
"5","HR-M","0.7"
"6","HR-H","0.5"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","1"
"10","FD 90-70","9"
"11","FD 70-BE","6"
"12","FD BE-30","5"
"13","FD 30-10","6"
"14","FD 10-0","3"
"15","Max Abs Err","13.805393898934"
"16","Year of max","2014"
"17","Max Rel Err","44.4601214608523"
"18","Year of max","2002"
