"","metrics","values"
"1","Rsqrd","0.63305166763674"
"2","RMSE","7.03006864235498"
"3","RPSS","0.243376684264829"
"4","HR-L","0.2"
"5","HR-M","0.5"
"6","HR-H","0.6"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","3"
"10","FD 90-70","10"
"11","FD 70-BE","5"
"12","FD BE-30","5"
"13","FD 30-10","7"
"14","FD 10-0","0"
"15","Max Abs Err","6.99789521023038"
"16","Year of max","1986"
"17","Max Rel Err","39.8736470796553"
"18","Year of max","2001"
