"","year","prd_PCR","res_PCR","prd_PCR_LOOCV","res_PCR_LOOCV","obs","y90_PCR","y70_PCR","y30_PCR","y10_PCR","Ymod_PCR_1","Ymod_PCR_2","Ymod_PCR_3"
"1",1986,25.7321327832902,-7.30386721670983,25.4385433975161,-7.59745660248392,33.036,4.874639784767,17.2069172363119,34.2573483302684,46.5896257818133,0.28711202643352,0.741232288472161,0.99999998810794
"2",1987,68.8325240302437,18.1685240302437,70.5994284754621,19.9354284754621,50.664,47.9750310317206,60.3073084832655,77.357739577222,89.6900170287669,0.000422461659598516,0.0166415278903329,0.997493097858009
"3",1988,63.0015462605613,28.8955462605613,65.2021977225123,31.0961977225123,34.106,42.1440532620382,54.4763307135831,71.5267618075396,83.8590392590845,0.00132396558569055,0.0361747321141331,0.99914914131763
"4",1989,13.8697774458468,1.62977744584678,13.9704646899822,1.73046468998222,12.24,-6.98771555267639,5.34456189886851,22.394992992825,34.7272704443699,0.556871029138931,0.911817365784245,0.999999999837992
"5",1990,34.0543491870314,18.4073491870314,34.6926190265582,19.0456190265582,15.647,13.1968561885082,25.5291336400531,42.5795647340097,54.9118421855546,0.129103190602346,0.53122516136476,0.999999732266015
"6",1991,55.6931168306879,-41.8838831693121,53.3356913841065,-44.2413086158935,97.577,34.8356238321647,47.1679012837096,64.2183323776661,76.550609829211,0.0114070974666179,0.142863739015947,0.999944966639219
"7",1992,83.1185404831436,-33.1354595168564,77.4049010877762,-38.8490989122238,116.254,62.2610474846205,74.5933249361654,91.6437560301219,103.976033481667,8.63463263404056e-05,0.00543347244870842,0.991526349464774
"8",1993,94.9033643012818,16.5853643012818,99.3380534472644,21.0200534472644,78.318,74.0458713027586,86.3781487543035,103.42857984826,115.760857299805,1.66226447467473e-07,4.90864695745984e-05,0.850768237366108
"9",1994,25.855517285692,7.23451728569201,26.145319331372,7.524319331372,18.621,4.99802428716884,17.3303017387137,34.3807328326703,46.7130102842152,0.272495411347208,0.7269808886667,0.99999998474677
"10",1995,44.0153420833558,4.32534208335579,44.1800070624159,4.49000706241587,39.69,23.1578490848326,35.4901265363775,52.5405576303341,64.872835081879,0.0432845423469884,0.306853273989527,0.999995288518384
"11",1996,13.8297874057795,4.94578740577946,14.1358398424628,5.2518398424628,8.884,-7.02770559274371,5.30457185880119,22.3550029527577,34.6872804043026,0.552854309259493,0.91018038467293,0.999999999827043
"12",1997,51.3987855815835,7.94478558158353,51.7780055427502,8.32400554275017,43.454,30.5412925830604,42.8735700346053,59.9240011285618,72.2562785801067,0.014599507706642,0.16557538487333,0.999962992961489
"13",1998,68.0549155052771,-16.9180844947229,66.4620764181199,-18.5109235818801,84.973,47.1974225067539,59.5296999582988,76.5801310522554,88.9124085038003,0.00102345064858158,0.0304410385736093,0.998894964604481
"14",1999,10.5837486709663,0.412748670966291,10.6129817275289,0.441981727528901,10.171,-10.2737443275569,2.05853312398802,19.1089642179446,31.4412416694895,0.636608327147334,0.940430553998157,0.999999999957983
"15",2000,2.09484100252503,-6.91215899747497,1.3961786937106,-7.6108213062894,9.007,-18.7626519959981,-6.43037454445324,10.6200565495033,22.9523340010482,0.820144472914786,0.983202787853832,0.999999999999166
"16",2001,59.4382673722409,25.3592673722409,61.101886282481,27.022886282481,34.079,38.5807743737177,50.9130518252626,67.9634829192192,80.2957603707641,0.00294467790579325,0.0611866420938256,0.999650421260198
"17",2002,10.3227650990005,1.50076509900054,10.4302268444539,1.60822684445387,8.822,-10.5347278995226,1.79754955202227,18.8479806459788,31.1802580975237,0.640815915917211,0.94174952524161,0.999999999961005
"18",2003,26.76034778739,6.96134778738999,27.0325175431332,7.23351754313322,19.799,5.90285478886682,18.2351322404117,35.2855633343683,47.6178407859132,0.254686399939486,0.708557651423643,0.999999979206154
"19",2004,30.6323441265241,-15.4996558734759,30.0740773727329,-16.0579226272671,46.132,9.77485112800095,22.1071285795458,39.1575596735024,51.4898371250473,0.198563548444024,0.641408923579174,0.999999941147691
"20",2005,43.3684123018296,-11.4015876981704,42.9406559965937,-11.8293440034063,54.77,22.5109193033065,34.8431967548514,51.8936278488079,64.2259053003528,0.0507521722782152,0.334102319389293,0.999996699811384
"21",2006,5.10703404616548,-4.11596595383452,4.74010148083996,-4.48289851916004,9.223,-15.7504589523577,-3.41818150081279,13.6322495931437,25.9645270446886,0.761266522010629,0.972531434340783,0.999999999996414
"22",2007,38.2580606228842,5.24106062288417,38.4403422110327,5.42334221103268,33.017,17.400567624361,29.7328450759059,46.7832761698624,59.1155536214073,0.0867578895930895,0.439592362776871,0.999999135627145
"23",2008,28.2966650417972,-2.24033495820285,28.2122583433085,-2.32474165669152,30.537,7.43917204327398,19.7714494948189,36.8218805887754,49.1541580403203,0.231984483325368,0.683199129944197,0.999999968743719
"24",2009,18.3880670113074,3.97006701130745,18.5928294318949,4.17482943189489,14.418,-2.46942598721572,9.86285146432918,26.9132825582857,39.2455600098306,0.443906713146959,0.857221484563899,0.999999999029785
"25",2010,83.9140405977566,-9.92795940224339,82.1491219021967,-11.6928780978033,93.842,63.0565475992334,75.3888250507783,92.4392561447349,104.77153359628,2.58792189679552e-05,0.00226594541732713,0.981969849958585
"26",2011,8.44628119953785,-0.841718800462154,8.38106537712364,-0.90693462287636,9.288,-12.4112117989853,-0.0789343474404216,16.9714967465161,29.303774198061,0.686726144606484,0.955017491972842,0.999999999983259
"27",2012,28.701889490269,12.078889490269,29.1529745835669,12.5299745835669,16.623,7.84439649174582,20.1766739432907,37.2271050372473,49.5593824887922,0.214720692924647,0.662334438591195,0.999999956898925
