"","year","prd_PCRF","res_PCRF","prd_PCRF_LOOCV","res_PCRF_LOOCV","obs","y90_PCRF_BCbased","y70_PCRF_BCbased","y30_PCRF_BCbased","y10_PCRF_BCbased","Ymod_PCRF_BC_1","Ymod_PCRF_BC_2","Ymod_PCRF_BC_3"
"1",1986,26.9662799333333,-6.06972006666668,21.9537443,-11.0822557,33.036,16.7869592523374,22.216904717979,32.730893121741,43.3177647501892,0.210185675046465,0.909105586400569,0.9999967357413
"2",1987,45.0083460000002,-5.65565399999984,38.9446327333333,-11.7193672666667,50.664,28.0187255291111,37.0815035667261,54.6296103429727,72.2992392730202,0.00923257618452873,0.414840167283762,0.99845243597905
"3",1988,39.8383617333333,5.73236173333333,43.1668811666667,9.0608811666667,34.106,24.8002331546791,32.8220219463193,48.3545049313391,63.9945773706192,0.00421221722020229,0.310821291037819,0.996315774386043
"4",1989,15.9369016238095,3.69690162380949,17.1893288,4.94932879999999,12.24,9.92088574464575,13.1299958962628,19.3438325724991,25.6007879823824,0.442722263654396,0.977085983627303,0.999999883087026
"5",1990,27.8800568,12.2330568,36.8685066666666,21.2215066666666,15.647,17.3558118463034,22.9697507789745,33.8400001752759,44.7855974998018,0.0136228728274731,0.473317017193954,0.99905279737861
"6",1991,91.0935600333334,-6.48343996666661,81.8820715666667,-15.6949284333333,97.577,56.708603440045,75.0506383402967,110.565667234665,146.326301640792,6.32059399893263e-06,0.0130345431080798,0.828450361471572
"7",1992,95.8701045666667,-20.3838954333334,83.9369610333333,-32.3170389666667,116.254,59.6822118050153,78.9859948953558,116.363195930313,153.998854526911,4.64075213765708e-06,0.0109463557950776,0.810845467138716
"8",1993,90.4384402333332,12.1204402333332,98.4648620333333,20.1468620333333,78.318,56.3007628785202,74.5108905415875,109.770515697921,145.273983558633,5.72109853232995e-07,0.00322467304827202,0.673365227802938
"9",1994,20.3519005333333,1.73090053333333,22.4626570333334,3.84165703333336,18.621,12.6693283743366,16.7674304662214,24.7026053517542,32.6928173092313,0.192762795250846,0.898541421617562,0.999995636467887
"10",1995,39.8599454333333,0.169945433333346,40.1961793666667,0.506179366666686,39.69,24.8136697313834,32.8398044623653,48.3807023146217,64.0292477947194,0.00730891017358186,0.381834234554393,0.997964282416029
"11",1996,11.7418773333333,2.85787733333334,16.3315555952381,7.44755559523808,8.884,7.30939640991432,9.67380175522404,14.2520463523884,18.8620790104072,0.497758659240812,0.983636900870166,0.999999944784973
"12",1997,39.0549431666666,-4.39905683333338,32.0701686,-11.3838314,43.454,24.3125289343162,32.176574126614,47.4036244928923,62.7361527574607,0.0335616645897102,0.621794519900507,0.99975249073397
"13",1998,93.2813936333334,8.3083936333334,93.8033673000001,8.83036730000006,84.973,58.0706253990306,76.853176617171,113.221149537365,149.840614845728,1.10136436593972e-06,0.00475947823596551,0.719180731711312
"14",1999,9.70960323333334,-0.461396766666658,9.67982106666667,-0.491178933333329,10.171,6.04426998593427,7.99945632711262,11.7853321433285,15.597504123011,0.920593454922126,0.999807471679418,0.999999999991121
"15",2000,9.98831219999999,0.981312199999985,10.5733007,1.56630070000002,9.007,6.21777094415431,8.22907829262281,12.1236210711138,16.0452133056882,0.879056912810955,0.999535731666139,0.999999999955507
"16",2001,39.5307155666667,5.45171556666667,42.6609555666667,8.58195556666669,34.079,24.6087131194679,32.5685564739459,47.981096998028,63.500397784549,0.00462491001084363,0.322171346975595,0.996652081240868
"17",2002,9.59276573333334,0.770765733333338,10.1831732047619,1.3611732047619,8.822,5.97153673138883,7.90319658925472,11.6435181233946,15.4098200206708,0.898307665804195,0.999678754561713,0.999999999977447
"18",2003,22.2060039666667,2.40700396666666,26.4160377666667,6.61703776666667,19.799,13.8235558212888,18.2949933761388,26.9530490003857,35.6711452543263,0.0957345839488361,0.798084656271605,0.999969387583768
"19",2004,33.3717998333333,-12.7602001666667,21.1370348,-24.9949652,46.132,20.7745883710042,27.4943134465699,40.5056598924241,53.6071637512451,0.240953669635808,0.924755510301663,0.999997996768221
"20",2005,44.2355699,-10.5344301,37.2952415333333,-17.4747584666667,54.77,27.5376454466248,36.4448233058076,53.6916482011422,71.0579128927505,0.0125745199307155,0.460941895128596,0.998948119625035
"21",2006,10.1059361666667,0.882936166666662,10.7340579,1.5110579,9.223,6.29099384432568,8.32598601333004,12.2663896362404,16.2341606158019,0.870650839276676,0.999463245855612,0.999999999941725
"22",2007,37.9566069,4.93960689999995,38.6858444,5.66884440000003,33.017,23.6287782501088,31.2716701038767,46.0705099667986,60.9718672281101,0.00969044065800016,0.421883195146852,0.998540597761604
"23",2008,27.7358938333333,-2.80110616666668,24.9816543,-5.55534570000005,30.537,17.2660661952035,22.8509772165788,33.6650207560017,44.5540233879754,0.123996029753052,0.837885439440418,0.999984020932131
"24",2009,17.1180744,2.70007439999998,18.6545184,4.2365184,14.418,10.6561928033773,14.1031412282557,20.7775002203385,27.4981671151198,0.357438148115434,0.962111254394938,0.999999626963707
"25",2010,95.6782957666667,1.83629576666667,94.8955629333334,1.05356293333338,93.842,59.5628023620902,78.8279651399821,116.130388134023,153.690752622903,9.43388832656979e-07,0.00434336197988806,0.708530583941041
"26",2011,9.8769472,0.588947200000002,10.5111454333333,1.22314543333335,9.288,6.14844437159716,8.13732720108665,11.9884494462107,15.8663201559845,0.882234561856067,0.999561502904482,0.999999999959978
"27",2012,26.8896521666666,10.2666521666666,35.1448985333333,18.5218985333333,16.623,16.7392562626616,22.153772342807,32.6378852859205,43.1946747603822,0.0188326550982872,0.524943996916959,0.999393501999811
