"","year","prd_PCANN","res_PCANN","prd_PCANN_LOOCV","res_PCANN_LOOCV","obs","y90_PCANN","y70_PCANN","y30_PCANN","y10_PCANN","Ymod_PCANN_1","Ymod_PCANN_2","Ymod_PCANN_3"
"result.1",1986,19.826882778105,-13.209117221895,19.1476817928224,-13.8883182071776,33.036,0.629832579258643,11.9803505595438,27.6734149966663,39.0239329769514,0.424526399336381,0.869331089482592,0.999999999955595
"result.2",1987,55.680814007469,5.01681400746895,58.3856986379325,7.72169863793249,50.664,36.4837638086226,47.8342817889077,63.5273462260302,74.8778642063153,0.00247180958283586,0.0671806352710408,0.999944343427339
"result.3",1988,37.5683385048693,3.46233850486929,72.6818286024746,38.5758286024746,34.106,18.3712883060229,29.7218062863081,45.4148707234305,56.7653887037157,8.31426711004611e-05,0.00710650803106236,0.998191683509023
"result.4",1989,19.8265505706152,7.58655057061518,20.2449429708427,8.00494297084267,12.24,0.629500371768803,11.9800183520539,27.6730827891764,39.0236007694616,0.396042758746553,0.853131384308544,0.999999999927995
"result.5",1990,19.8269879263635,4.17998792636345,20.1037784139355,4.4567784139355,15.647,0.629937727517078,11.9804557078022,27.6735201449247,39.0240381252098,0.399679678266953,0.85528788400837,0.999999999932316
"result.6",1991,85.8117803798927,-11.7652196201073,72.7084863462583,-24.8685136537417,97.577,66.6147301810463,77.9652481613315,93.6583125984539,105.008830578739,8.25522342411401e-05,0.00707142794243945,0.998181357232075
"result.7",1992,95.0172697934199,-21.2367302065801,86.3526430776126,-29.9013569223874,116.254,75.8202195945735,87.1707375748587,102.863802011981,114.214319992266,1.44597775607927e-06,0.000383015141244029,0.977079004890893
"result.8",1993,95.2428378887345,16.9248378887345,100.844694623219,22.5266946232195,78.318,76.0457876898881,87.3963056701732,103.089370107296,114.439888087581,8.20437073975457e-09,7.36856693308863e-06,0.848271971062041
"result.9",1994,19.8266233584383,1.20562335843826,19.9593852989046,1.33838529890462,18.621,0.629573159591885,11.980091139877,27.6731555769995,39.0236735572846,0.403408801556313,0.857471534651757,0.999999999936474
"result.10",1995,36.7563571877769,-2.93364281222311,35.4258734224812,-4.26412657751884,39.69,17.5593069889305,28.9098249692157,44.6028894063381,55.9534073866233,0.100730080788924,0.514422324622388,0.99999996626674
"result.11",1996,19.8265506101254,10.9425506101254,20.4514671040139,11.5674671040139,8.884,0.629500411278975,11.9800183915641,27.6730828286866,39.0236008089717,0.390738281839097,0.849937766087909,0.999999999921183
"result.12",1997,20.4587963536036,-22.9952036463964,19.2755685324843,-24.1784314675157,43.454,1.26174615475721,12.6122641350424,28.3053285721648,39.65584655245,0.421183179939214,0.867509278233888,0.999999999953008
"result.13",1998,94.9524707343645,9.97947073436448,97.7441196109656,12.7711196109656,84.973,75.7554205355181,87.1059385158032,102.799002952926,114.149520933211,2.67777255987579e-08,1.84947950644485e-05,0.891791169941435
"result.14",1999,19.826550527871,9.65555052787099,20.4419157937214,10.2709157937214,10.171,0.629500329024609,11.9800183093098,27.6730827464322,39.0236007267174,0.390983163269678,0.850086477678328,0.999999999921512
"result.15",2000,19.8265505273594,10.8195505273594,20.5011698448616,11.4941698448616,9.007,0.629500328512989,11.9800183087981,27.6730827459206,39.0236007262057,0.389464678674376,0.849162319339723,0.999999999919452
"result.16",2001,26.4986747757587,-7.58032522424127,24.7284502744881,-9.35054972551192,34.079,7.30162457691235,18.6521425571975,34.34520699432,45.6957249746051,0.286711672184455,0.773536703243991,0.999999999508592
"result.17",2002,19.8265505338231,11.0045505338231,20.5030712318407,11.6810712318408,8.822,0.629500334976772,11.9800183152619,27.6730827523844,39.0236007326695,0.389415980237587,0.849132601608639,0.999999999919385
"result.18",2003,19.8265936642813,0.0275936642813335,19.9094084987993,0.110408498799309,19.799,0.629543465434956,11.9800614457201,27.6731258828426,39.0236438631277,0.404701579045313,0.858222113256578,0.999999999937854
"result.19",2004,19.8266659181354,-26.3053340818646,18.4513744395087,-27.6806255604913,46.132,0.629615719288992,11.9801336995741,27.6731981366966,39.0237161169817,0.442818556734264,0.878946162526649,0.999999999967414
"result.20",2005,58.3424101939337,3.57241019393366,63.6174581666999,8.84745816669987,54.77,39.1453599950873,50.4958779753724,66.1889424124949,77.53946039278,0.000788663202656083,0.0324094159994138,0.99978022714795
"result.21",2006,19.8265505273648,10.6035505273648,20.5052485486455,11.2822485486455,9.223,0.629500328518471,11.9800183088036,27.6730827459261,39.0236007262112,0.389360216802554,0.849098566445305,0.999999999919308
"result.22",2007,19.9049191272271,-13.1120808727729,19.2618034153995,-13.7551965846005,33.017,0.707868928380698,12.0583869086658,27.7514513457883,39.1019693260735,0.421542759776926,0.867706205604814,0.999999999953294
"result.23",2008,19.8267079546415,-10.7102920453585,19.3166774446158,-11.2203225553842,30.537,0.62965775579509,11.9801757360802,27.6732401732027,39.0237581534878,0.420109703099904,0.866919961413594,0.999999999952146
"result.24",2009,19.8265507226049,5.40855072260489,20.2018293183769,5.78382931837693,14.418,0.629500523758509,11.9800185040437,27.6730829411661,39.0236009214513,0.397152581856513,0.853792284171527,0.999999999929343
"result.25",2010,95.242782580054,1.40078258005401,95.5554756615491,1.71347566154911,93.842,76.0457323812076,87.3962503614928,103.089314798615,114.4398327789,6.01882624811458e-08,3.45503311751635e-05,0.916555606083311
"result.26",2011,19.8265505282596,10.5385505282596,20.4923716388216,11.2043716388216,9.288,0.629500329413183,11.9800183096983,27.6730827468208,39.0236007271059,0.389690041440851,0.849299780178259,0.999999999919761
"result.27",2012,19.8286707839925,3.20567078399252,20.0846816180545,3.46168161805454,16.623,0.631620585146148,11.9821385654313,27.6752030025538,39.0257209828389,0.400172358845989,0.855577970017391,0.999999999932881
"result.28",2013,19.8265509417723,0.791550941772272,19.9094484454,0.874448445399974,19.035,0.629500742925895,11.980018723211,27.6730831603335,39.0236011406187,0.404700545306982,0.858221514387921,0.999999999937853
"result.29",2014,19.8265505273872,6.69955052738724,20.2269937675343,7.09999376753428,13.127,0.62950032854086,11.980018308826,27.6730827459485,39.0236007262336,0.396504701775842,0.853406775173206,0.999999999928559
"result.30",2015,19.826550550259,-2.66744944974096,19.7722597984394,-2.72174020156064,22.494,0.629500351412663,11.9800183316978,27.6730827688203,39.0236007491054,0.408254588322126,0.860268113858302,0.999999999941493
