"","year","prd_PCQR","res_PCQR","prd_PCQR_LOOCV","res_PCQR_LOOCV","obs","y90_PCQR","y70_PCQR","y30_PCQR","y10_PCQR","Ymod_PCQR_1","Ymod_PCQR_2","Ymod_PCQR_3"
"1",1986,28.2224065954514,-4.81359340454864,28.2224065954514,-4.81359340454864,33.036,11.2193639084932,26.277392735464,31.8101960738803,50.4366457378192,0.0952380952380952,0.714285714285714,1
"2",1987,67.5994743415593,16.9354743415593,67.5994743415593,16.9354743415593,50.664,50.5969701035325,65.6547297060286,71.1869945951075,89.8131750302955,0,0.0476190476190476,0.904761904761905
"3",1988,60.1824180722969,26.0764180722969,60.1824180722969,26.0764180722969,34.106,43.1798124121417,58.2376227257037,63.7699890369874,82.3962201840468,0,0.142857142857143,0.904761904761905
"4",1989,13.5868698473128,1.34686984731284,13.9813210531006,1.74132105310056,12.24,-3.41637296854196,11.6417559228805,17.1747593903444,35.8013091203244,0.619047619047619,1,1
"5",1990,29.5000771087544,13.8530771087544,29.7975582202857,14.1505582202857,15.647,12.4970518928869,27.5550719843121,33.0878578516245,51.714298779879,0.0952380952380952,0.619047619047619,1
"6",1991,45.9713189808218,-51.6056810191782,45.9713189808218,-51.6056810191782,97.577,28.9685189956049,44.026426471701,49.558987108193,68.1853154193298,0,0.285714285714286,1
"7",1992,79.9615830822514,-36.2924169177486,79.1389600938361,-37.1150399061639,116.254,62.9592478858679,78.0169229675395,83.5490188148476,102.175114727869,0,0.0476190476190476,0.80952380952381
"8",1993,78.318,1.4210854715202e-14,77.5241779751476,-0.793822024852389,78.318,61.3156423289731,76.3733286479668,81.9054469699352,100.531554120457,0,0.0476190476190476,0.904761904761905
"9",1994,20.6138018382636,1.9928018382636,20.9654331243267,2.34443312432674,18.621,3.61065510990941,18.6687359575799,24.2016433374708,42.8281450229358,0.285714285714286,0.857142857142857,1
"10",1995,41.3104602790837,1.62046027908367,41.5359726196178,1.8459726196178,39.69,24.3075965604673,39.3655359032642,44.8981602732037,63.5245204515474,0,0.380952380952381,1
"11",1996,11.5837101143189,2.69971011431887,11.9903679472766,3.10636794727656,8.884,-5.41956009309348,9.6385824941082,15.1716133531503,33.7981767791271,0.80952380952381,1,1
"12",1997,53.7273283567081,10.2733283567081,53.7273283567081,10.2733283567081,43.454,36.7246344285239,51.7824888761019,57.3149434554813,75.9412187372577,0,0.238095238095238,1
"13",1998,57.9327815680721,-27.0402184319279,57.9327815680721,-27.0402184319279,84.973,40.9301451459927,55.9879708405173,61.5203679137484,80.1466144420147,0,0.142857142857143,0.904761904761905
"14",1999,15.4805065868596,5.30950658685957,15.8634185642501,5.69241856425013,10.171,-1.52271033507429,13.5354056093873,19.0683831829107,37.6949199657242,0.571428571428571,1,1
"15",2000,6.55336195756783,-2.45363804243217,5.99489659074941,-3.01210340925059,9.007,-10.4499770357076,4.60819994442678,10.1412995893838,28.7678974088396,0.952380952380952,1,1
"16",2001,52.9704978934525,18.8914978934525,52.9704978934525,18.8914978934525,34.079,35.9677936162357,51.0256532383301,56.5581181667498,75.1843986231248,0,0.238095238095238,1
"17",2002,10.7037335380157,1.88173353801566,11.1157536722458,2.29375367224584,8.822,-6.29954870235076,8.75859990132816,14.2916427933334,32.918212235883,0.857142857142857,1,1
"18",2003,20.2508726832824,0.451872683282389,20.604715545792,0.805715545791983,19.799,3.24772099217127,18.3058043212204,23.8387166638718,42.4652208307548,0.285714285714286,0.857142857142857,1
"19",2004,25.3908616639836,-20.7411383360164,25.3908616639836,-20.7411383360164,46.132,8.38778025798342,23.4458284444759,28.9786705019634,47.6051395257316,0.142857142857143,0.761904761904762,1
"20",2005,38.9236499348319,-15.8463500651681,38.9236499348319,-15.8463500651681,54.77,21.9207535785522,36.9787092401813,42.5113662478088,61.1377427452439,0,0.380952380952381,1
"21",2006,7.09440102600976,-2.12859897399025,6.54014597209839,-2.68285402790161,9.223,-9.90893056900252,5.14924271200015,10.6823349586885,29.3089290789538,0.952380952380952,1,1
"22",2007,33.017,7.105427357601e-15,33.2930500864304,0.276050086430445,33.017,16.0140228751531,31.0720189210671,36.6047566973228,55.2311735796843,0.0476190476190476,0.571428571428571,1
"23",2008,15.8914701519508,-14.6455298480492,15.4056730262107,-15.1313269737893,30.537,-1.11174115039518,13.9463719842723,19.4793439382037,38.1058779111785,0.571428571428571,1,1
"24",2009,15.2099870526386,0.791987052638611,15.5945474912288,1.17654749122876,14.418,-1.79323356842682,13.2648842256006,18.7978654982584,37.424404130667,0.571428571428571,1,1
"25",2010,74.5410950484261,-19.3009049515739,73.8134567797013,-20.0285432202987,93.842,57.5386857313385,72.5963978733634,78.1285678414315,96.7547008153945,0,0.0476190476190476,0.904761904761905
