"","year","obs","prd_PCR","prd_PCQR","prd_PCANN","prd_PCRF","prd_PCMCQRNN","prd_PCSVM","prd_ensemble"
"1",1986,33.036,25.7321327832902,28.2224065954514,19.9076916737482,26.9372058333333,22.9380194415374,17.384741436648,23.5203662940014
"2",1987,50.664,68.8325240302437,67.5994743415593,55.3318199458585,45.2345296666668,58.7165868009481,50.6746039057182,57.7315897818325
"3",1988,34.106,63.0015462605613,60.1824180722969,36.5617708879605,39.4835305,58.5312815503594,57.83680563815,52.5995588182213
"4",1989,12.24,13.8697774458468,13.5868698473128,19.9074777068608,16.2836592095238,13.9306753622532,12.8806329123023,15.0765154140166
"5",1990,15.647,34.0543491870314,29.5000771087544,19.9077514819429,27.4027028333334,32.1454039229279,23.2895711504912,27.7166426140802
"6",1991,97.577,55.6931168306879,45.9713189808218,86.1680673498579,90.9082206,50.7903745231396,59.2196005905837,64.7917831458485
"7",1992,116.254,83.1185404831436,79.9615830822514,94.9735084132533,95.6043148,76.8390365843911,83.6969166478952,85.6989833351558
"8",1993,78.318,94.9033643012818,78.318,95.1624816050149,90.3109375999999,94.4456422030893,78.3280651075615,88.5780818028246
"9",1994,18.621,25.855517285692,20.6138018382636,19.9075207262689,20.2079292666667,28.0228900100604,20.5424344603223,22.525015597879
"10",1995,39.69,44.0153420833558,41.3104602790837,36.4795189818269,39.5686089666666,33.491719258912,30.0666647444352,37.48871905238
"11",1996,8.884,13.8297874057795,11.5837101143189,19.9074777254629,11.8608786333333,17.0629554165612,13.9736971335004,14.703084404826
"12",1997,43.454,51.3987855815835,53.7273283567081,20.4271974305648,39.3025686666667,51.6488619722522,42.8811874610449,43.2309882448034
"13",1998,84.973,68.0549155052771,57.9327815680721,94.9159470882512,92.7755581333334,68.6638683343255,85.2029181995581,77.9243314714696
"14",1999,10.171,10.5837486709663,15.4805065868596,19.9074776873326,9.75342716666668,4.03991510573942,9.55443573127964,11.5532518248074
"15",2000,9.007,2.09484100252503,6.55336195756783,19.9074776871324,10.0095356666667,4.26461785052327,9.63563667280753,8.74424513953712
"16",2001,34.079,59.4382673722409,52.9704978934525,26.0643677271326,39.1594661666666,48.5321925491841,38.7152626038365,44.1466757187522
"17",2002,8.822,10.3227650990005,10.7037335380157,19.9074776898248,9.62128796666667,14.4837138880756,13.1475362462188,13.031085737967
"18",2003,19.799,26.76034778739,20.2508726832824,19.9075025419107,22.4863968666667,26.1591819047021,19.7810436534096,22.5575575728936
"19",2004,46.132,30.6323441265241,25.3908616639836,19.9075462809845,33.4133976999999,27.9505091649915,21.0775160290815,26.3953624942609
"20",2005,54.77,43.3684123018296,38.9236499348319,58.7126103914281,44.0244705666667,39.0459139105068,39.2808850958458,43.8926570335181
"21",2006,9.223,5.10703404616548,7.09440102600976,19.9074776871343,10.0772193333333,3.1411467742635,9.22476216181789,9.0920068381207
"22",2007,33.017,38.2580606228842,33.017,19.9666298062767,38.1514024666666,37.5895088151355,33.77847545015,33.4601795268522
"23",2008,30.537,28.2966650417972,15.8914701519508,19.9075767091105,27.9695959333333,22.0566361131138,16.3156452427953,21.7395981986835
"24",2009,14.418,18.3880670113074,15.2099870526386,19.9074777814079,17.2463173761905,15.7297940121364,13.5400411305541,16.6702807273725
"25",2010,93.842,83.9140405977566,74.5410950484261,95.1624463841907,95.7363609666667,88.1915769476624,93.8440253500287,88.5649242157885
"26",2011,9.288,8.44628119953785,8.86477382200596,19.907477687485,9.84807123333333,10.8741212861635,11.7546361056307,11.6158935556927
"27",2012,16.623,28.701889490269,34.0646001317414,19.9088890131742,26.5782280333333,29.7044106344279,24.7293982352003,27.2812359230243
"28",2013,19.035,19.7342033728584,16.9360513526174,19.9074778891204,17.5537337761905,20.3882257447302,15.1597738927916,18.2799110047181
"29",2014,13.127,7.57155562732584,10.6111549708823,19.9074776871422,10.5345438666667,4.71403604428287,9.7965922123142,10.5225600681023
"30",2015,22.494,13.8697774458468,18.4562214632902,19.9074776973762,16.2836592095238,11.6821094389138,12.121264685942,15.3867516568155
