"","year","obs","res_PCR","res_PCQR","res_PCANN","res_PCRF","res_PCMCQRNN","res_PCSVM","res_ensemble","res_PCR_LOOCV","res_PCQR_LOOCV","res_PCANN_LOOCV","res_PCRF_LOOCV","res_PCMCQRNN_LOOCV","res_PCSVM_LOOCV","res_ensemble_LOOCV"
"1",1986,33.036,-7.30386721670983,-4.81359340454864,-13.1283083262518,-6.09879416666666,-10.0979805584626,-15.651258563352,-9.51563370599859,-7.59745660248392,-4.81359340454864,-13.8707636885964,-11.5445822666667,-10.3184020047971,-16.1555392598073,-10.71672287115
"2",1987,50.664,18.1685240302437,16.9354743415593,4.66781994585845,-5.42947033333316,8.05258680094808,0.0106039057182272,7.06758978183246,19.9354284754621,16.9354743415593,7.46534558010219,-10.8159321,10.1002784504405,0.716881160070564,7.3895793179391
"3",1988,34.106,28.8955462605613,26.0764180722969,2.4557708879605,5.37753049999996,24.4252815503594,23.73080563815,18.4935588182213,31.0961977225123,26.0764180722969,38.5817725211608,9.1380690666667,24.7071043550077,24.7508603389672,25.7250703461019
"4",1989,12.24,1.62977744584678,1.34686984731284,7.6674777068608,4.04365920952378,1.69067536225325,0.640632912302285,2.83651541401662,1.73046468998222,1.74132105310056,8.09797009330392,5.45136676666665,2.35815943346438,1.58035097154081,3.49327216800975
"5",1990,15.647,18.4073491870314,13.8530771087544,4.2607514819429,11.7557028333334,16.4984039229279,7.64257115049123,12.0696426140802,19.0456190265582,14.1505582202857,4.44841961237906,21.8401274666667,16.4641827040326,7.7142524178996,13.9438599079703
"6",1991,97.577,-41.8838831693121,-51.6056810191782,-11.4089326501421,-6.66877939999995,-46.7866254768604,-38.3573994094163,-32.7852168541515,-44.2413086158935,-51.6056810191782,-25.0791460914556,-16.3486939666666,-48.9475082836034,-38.4521347764432,-37.4457454588734
"7",1992,116.254,-33.1354595168564,-36.2924169177486,-21.2804915867467,-20.6496852,-39.4149634156089,-32.5570833521048,-30.5550166648442,-38.8490989122238,-37.1150399061639,-28.2012629594745,-32.8251028333333,-54.8641011614221,-32.7811758758904,-37.439296941418
"8",1993,78.318,16.5853643012818,1.4210854715202e-14,16.8444816050149,11.9929375999999,16.1276422030893,0.0100651075615019,10.2600818028246,21.0200534472644,-0.793822024852389,22.0929162933778,19.9428511,20.7446127524578,4.37538434846634,14.563665986119
"9",1994,18.621,7.23451728569201,1.9928018382636,1.28652072626891,1.58692926666667,9.40189001006042,1.92143446032233,3.90401559787899,7.524319331372,2.34443312432674,1.27135825391743,4.64739626666673,9.92193004365859,1.95334201038385,4.61046317172089
"10",1995,39.69,4.32534208335579,1.62046027908367,-3.21048101817306,-0.121391033333353,-6.19828074108801,-9.62333525556475,-2.20128094761996,4.49000706241587,1.8459726196178,-6.31857638748451,0.39732686666671,-6.28816409800829,-9.87463269762813,-2.62467777240342
"11",1996,8.884,4.94578740577946,2.69971011431887,11.0234777254629,2.97687863333334,8.17895541656121,5.08969713350037,5.81908440482603,5.2518398424628,3.10636794727656,11.6252374780993,7.77593993809522,9.07496891317451,5.91068339053065,7.12417291827317
"12",1997,43.454,7.94478558158353,10.2733283567081,-23.0268025694352,-4.15143133333333,8.19486197225216,-0.572812538955077,-0.22301175519663,8.32400554275017,10.2733283567081,-24.1775138396406,-11.1024244666667,9.58849366879284,-0.662186578864642,-1.2927162194868
"13",1998,84.973,-16.9180844947229,-27.0402184319279,9.94294708825119,7.80255813333342,-16.3091316656745,0.229918199558057,-7.04866852853044,-18.5109235818801,-27.0402184319279,12.7486912312392,7.14757026666665,-18.0950137103025,2.68843873706699,-6.84357591485627
"14",1999,10.171,0.412748670966291,5.30950658685957,9.73647768733261,-0.417572833333322,-6.13108489426058,-0.61656426872036,1.38225182480737,0.441981727528901,5.69241856425013,10.2366321467381,-0.501251933333332,-6.45252910729371,-0.712556286823904,1.45078251851104
"15",2000,9.007,-6.91215899747497,-2.45363804243217,10.9004776871324,1.00253566666666,-4.74238214947673,0.628636672807533,-0.262754860462882,-7.6108213062894,-3.01210340925059,11.4971735103295,1.57425810000002,-6.39243723589677,1.23382279554047,-0.451684590927794
"16",2001,34.079,25.3592673722409,18.8914978934525,-8.01463227286737,5.08046616666665,14.4531925491841,4.63626260383647,10.0676757187522,27.022886282481,18.8914978934525,-10.0567944303733,8.47051789999999,15.0815292033392,5.21814327592231,10.7712966874703
"17",2002,8.822,1.50076509900054,1.88173353801566,11.0854776898248,0.799287966666668,5.66171388807557,4.32553624621879,4.20908573796701,1.60822684445387,2.29375367224584,11.6707104173126,1.337325,6.43758705052,5.27261383830212,4.77003613713908
"18",2003,19.799,6.96134778738999,0.451872683282389,0.108502541910749,2.68739686666668,6.36018190470208,-0.0179563465903954,2.75855757289358,7.23351754313322,0.805715545791983,0.0846552601492796,6.30438763333332,5.93566721572473,-0.743694697912925,3.27004141670327
"19",2004,46.132,-15.4996558734759,-20.7411383360164,-26.2244537190155,-12.7186023000001,-18.1814908350085,-25.0544839709185,-19.7366375057391,-16.0579226272671,-20.7411383360164,-27.6971340571106,-25.1448714333333,-19.5710350528385,-25.0638704975472,-22.3793286673522
"20",2005,54.77,-11.4015876981704,-15.8463500651681,3.94261039142806,-10.7455294333333,-15.7240860894932,-15.4891149041542,-10.8773429664819,-11.8293440034063,-15.8463500651681,8.71335645183282,-17.6480929333333,-18.7675287308384,-15.6469700465399,-11.8374882212422
