"","metrics","values"
"1","Rsqrd","0.810355361823306"
"2","RMSE","13.1266209486964"
"3","RPSS","0.566526860913526"
"4","HR-L","0.8"
"5","HR-M","0.7"
"6","HR-H","0.9"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","0"
"10","FD 90-70","6"
"11","FD 70-BE","9"
"12","FD BE-30","9"
"13","FD 30-10","6"
"14","FD 10-0","0"
"15","Max Abs Err","32.4642489165239"
"16","Year of max","1992"
"17","Max Rel Err","77.8508869052308"
"18","Year of max","1990"
