"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.944147615506264,0.832369991581152
"2","RMSE",7.02794570856827,12.1314332592617
"3","HR-L",0.8,0.6
"4","HR-M",0.6,0.6
"5","HR-H",0.9,0.8
