"","year","prd_PCRF","res_PCRF","prd_PCRF_LOOCV","res_PCRF_LOOCV","obs","y90_PCRF","y70_PCRF","y30_PCRF","y10_PCRF","Ymod_PCRF_1","Ymod_PCRF_2","Ymod_PCRF_3"
"1",1986,26.9662799333333,-6.06972006666668,21.9537443,-11.0822557,33.036,11.4137824949599,20.6094089054802,33.3231509611864,42.5187773717068,0.320524273588677,0.875984887930635,0.999999999999996
"2",1987,45.0083460000002,-5.65565399999984,38.9446327333333,-11.7193672666667,50.664,29.4558485616267,38.651474972147,51.3652170278533,60.5608434383736,0.0309647240707174,0.403065525037446,0.999999999907105
"3",1988,39.8383617333333,5.73236173333333,43.1668811666667,9.0608811666667,34.106,24.2858642949599,33.4814907054802,46.1952327611864,55.3908591717068,0.0133854369699133,0.276435915458657,0.999999999152395
"4",1989,15.9369016238095,3.69690162380949,17.1893288,4.94932879999999,12.24,0.38440418543604,9.58003059595638,22.2937726516626,31.4893990621829,0.47070406337291,0.939174420716996,1
"5",1990,27.8800568,12.2330568,36.8685066666666,21.2215066666666,15.647,12.3275593616266,21.5231857721469,34.2369278278531,43.4325542383735,0.0449747231361667,0.470392140213836,0.99999999997001
"6",1991,91.0935600333334,-6.48343996666661,81.8820715666667,-15.6949284333333,97.577,75.5410625949599,84.7366890054803,97.4504310611865,106.646057471707,3.21960933142039e-08,7.69240326048681e-05,0.997696457166225
"7",1992,95.8701045666667,-20.3838954333334,83.9369610333333,-32.3170389666667,116.254,80.3176071282932,89.5132335388135,102.22697559452,111.42260200504,1.23381424394544e-08,3.84020070810366e-05,0.996138081777524
"8",1993,90.4384402333332,12.1204402333332,98.4648620333333,20.1468620333333,78.318,74.8859427949598,84.0815692054801,96.7953112611864,105.990937671707,6.30336122827291e-12,1.29066507775425e-07,0.928725885554696
"9",1994,20.3519005333333,1.73090053333333,22.4626570333334,3.84165703333336,18.621,4.79940309495988,13.9950295054802,26.7087715611864,35.9043979717068,0.305662441762246,0.867188105639028,0.999999999999995
"10",1995,39.8599454333333,0.169945433333346,40.1961793666667,0.506179366666686,39.69,24.3074479949599,33.5030744054802,46.2168164611865,55.4124428717068,0.0244211258893862,0.363700124304182,0.999999999818876
"11",1996,11.7418773333333,2.85787733333334,16.3315555952381,7.44755559523808,8.884,-3.81062010504011,5.38500630548023,18.0987483611865,27.2943747717068,0.498885563760512,0.947231901446029,1
"12",1997,39.0549431666666,-4.39905683333338,32.0701686,-11.3838314,43.454,23.5024457282932,32.6980721388135,45.4118141945197,54.6074406050401,0.0967773383987781,0.625987710320544,0.99999999999803
"13",1998,93.2813936333334,8.3083936333334,93.8033673000001,8.83036730000006,84.973,77.7288961949599,86.9245226054803,99.6382646611865,108.833891071707,8.35782653863248e-11,9.32848995072933e-07,0.967887640578904
"14",1999,9.70960323333334,-0.461396766666658,9.67982106666667,-0.491178933333329,10.171,-5.84289420504011,3.35273220548023,16.0664742611865,25.2621006717068,0.707299375319289,0.984878475659969,1
"15",2000,9.98831219999999,0.981312199999985,10.5733007,1.56630070000002,9.007,-5.56418523837347,3.63144117214687,16.3451832278531,25.5408096383734,0.68148745951519,0.981836247171485,1
"16",2001,39.5307155666667,5.45171556666667,42.6609555666667,8.58195556666669,34.079,23.9782181282932,33.1738445388136,45.8875865945198,55.0832130050401,0.0148849343083284,0.290556888844513,0.999999999345591
"17",2002,9.59276573333334,0.770765733333338,10.1831732047619,1.3611732047619,8.822,-5.95973170504011,3.23589470548023,15.9496367611864,25.1452631717068,0.692876583982899,0.983223415673898,1
"18",2003,22.2060039666667,2.40700396666666,26.4160377666667,6.61703776666667,19.799,6.6535065282932,15.8491329388135,28.5628749945198,37.7585014050401,0.202122939643996,0.784452127463847,0.999999999999935
"19",2004,33.3717998333333,-12.7602001666667,21.1370348,-24.9949652,46.132,17.8193023949598,27.0149288054802,39.7286708611864,48.9242972717067,0.344979210835543,0.889234800271339,0.999999999999998
"20",2005,44.2355699,-10.5344301,37.2952415333333,-17.4747584666667,54.77,28.6830724616266,37.8786988721469,50.5924409278531,59.7880673383735,0.0417401165080556,0.456418773691072,0.999999999962075
"21",2006,10.1059361666667,0.882936166666662,10.7340579,1.5110579,9.223,-5.44656127170679,3.74906513881355,16.4628071945198,25.6584336050401,0.67674323284139,0.981236833804699,1
