"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.746178123670126,0.698293894593132
"2","RMSE",14.8997800581884,16.2694953186608
"3","HR-L",0.8,0.8
"4","HR-M",0.6,0.6
"5","HR-H",0.9,0.9
