"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.862161100477817,0.753398463990999
"2","RMSE",10.9799814089472,14.8892112122142
"3","HR-L",0,0
"4","HR-M",0.9,0.9
"5","HR-H",0.8,0.7
