"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.945234984344664,0.830915054803539
"2","RMSE",6.97284620787026,12.1839655701422
"3","HR-L",0.8,0.6
"4","HR-M",0.6,0.6
"5","HR-H",0.9,0.8
