"","metrics","values"
"1","Rsqrd","0.823346143117826"
"2","RMSE","12.9621386558977"
"3","RPSS","0.52539929792983"
"4","HR-L","0.9"
"5","HR-M","0.5"
"6","HR-H","0.8"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","1"
"10","FD 90-70","5"
"11","FD 70-BE","10"
"12","FD BE-30","4"
"13","FD 30-10","5"
"14","FD 10-0","5"
"15","Max Abs Err","38.3573994094163"
"16","Year of max","1991"
"17","Max Rel Err","69.5795626521726"
"18","Year of max","1988"
