"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.867952872945619,0.803350446024593
"2","RMSE",11.2213926427447,13.3467544607023
"3","HR-L",0.8,0.8
"4","HR-M",0.7,0.7
"5","HR-H",0.9,0.9
