"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.738150218738891,0.655337283948698
"2","RMSE",15.290353483017,17.5551891946725
"3","HR-L",0.8,0.8
"4","HR-M",0.6,0.6
"5","HR-H",0.8,0.8
