"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.844575493836033,0.797782443981438
"2","RMSE",12.1009411844716,13.715105927609
"3","HR-L",0.9,0.8
"4","HR-M",0.5,0.5
"5","HR-H",0.9,0.9
