"","year","prd_PCSVM","res_PCSVM","prd_PCSVM_LOOCV","res_PCSVM_LOOCV","obs","y90_PCSVM","y70_PCSVM","y30_PCSVM","y10_PCSVM","Ymod_PCSVM_1","Ymod_PCSVM_2","Ymod_PCSVM_3"
"1",1986,17.2800111800868,-15.7559888199132,16.4488512523979,-16.5871487476021,33.036,0.725368146370084,10.5135268199717,24.0464955402019,33.8346542138035,0.495329365713243,0.934672145242636,0.999999999999995
"2",1987,51.2727407122021,0.608740712202078,51.7601276415839,1.09612764158386,50.664,34.7180976784854,44.506256352087,58.0392250723172,67.8273837459188,0.00301421442683178,0.110664461737,0.999999704963847
"3",1988,58.3780734696778,24.2720734696778,58.4863868226327,24.3803868226327,34.106,41.8234304359611,51.6115891095627,65.1445578297929,74.9327165033945,0.000543245745276726,0.0405893990253335,0.999996153483778
"4",1989,12.67140142701,0.43140142701005,13.2191764728754,0.979176472875428,12.24,-3.88324160670665,5.90491706689495,19.4378857871251,29.2260444607268,0.594214508412888,0.960933988544973,0.999999999999999
"5",1990,23.4443407007212,7.79734070072125,23.4600089255509,7.81300892555092,15.647,6.88969766700455,16.6778563406062,30.2108250608363,39.9989837344379,0.289565181069962,0.833621005025051,0.999999999999666
"6",1991,59.7429867259705,-37.8340132740295,59.6919888080842,-37.8850111919158,97.577,43.1883436922538,52.9765023658554,66.5094710860856,76.2976297596872,0.000389038017204898,0.03308654149103,0.999994071233458
"7",1992,83.5449823898391,-32.7090176101609,83.5138601259267,-32.7401398740733,116.254,66.9903393561224,76.778498029724,90.3114667499542,100.099625423556,9.68645149864265e-08,0.000115693319576236,0.994384260940675
"8",1993,78.7873448403907,0.46934484039069,82.9821609567355,4.6641609567355,78.318,62.232701806674,72.0208604802756,85.5538292005058,95.3419878741074,1.20811367372735e-07,0.000135868536288789,0.995010962516889
"9",1994,20.5810713183132,1.96007131831316,20.5835509192035,1.96255091920348,18.621,4.02642828459646,13.8145869581981,27.3475556784283,37.1357143520299,0.36998198404494,0.883237568468659,0.999999999999936
"10",1995,30.4469306747547,-9.24306932524533,30.1509356524978,-9.53906434750225,39.69,13.892287641038,23.6804463146396,37.2134150348698,47.0015737084714,0.141679484414802,0.673797917997212,0.999999999987022
"11",1996,13.7572651543974,4.87326515439736,14.1514405673334,5.26744056733342,8.884,-2.79737787931935,6.99078079428226,20.5237495145125,30.3119081881141,0.566002126161219,0.954431841885491,0.999999999999999
"12",1997,43.468946200682,0.0149462006820116,44.1101520420587,0.656152042058707,43.454,26.9143031669653,36.7024618405669,50.2354305607971,60.0235892343987,0.0156274178300243,0.264156270510624,0.999999988439161
"13",1998,84.9858262400739,0.0128262400739487,86.2987627839448,1.32576278394475,84.973,68.4311832063572,78.2193418799588,91.752310600189,101.540469273791,2.96464486777156e-08,4.85569968447502e-05,0.989822766174872
"14",1999,9.52286199954932,-0.648138000450679,9.51297192146868,-0.658028078531324,10.171,-7.03178103416738,2.75637763943423,16.2893463596644,26.077505033266,0.700350975305388,0.979751297716712,1
"15",2000,9.59978206162353,0.592782061623529,10.2427148486181,1.23571484861805,9.007,-6.95486097209317,2.83329770150843,16.3662664217386,26.1544250953402,0.680428926114354,0.976821468986768,1
"16",2001,39.2635911025112,5.18459110251119,39.6597602109555,5.5807602109555,34.079,22.7089480687945,32.4971067423961,46.0300754626263,55.8182341362279,0.0352121089483257,0.387460728315126,0.999999998499075
"17",2002,12.9332514088918,4.1112514088918,13.4487857874724,4.62678578747236,8.822,-3.6213916248249,6.16676704877671,19.6997357690069,29.4878944426085,0.587305364729082,0.959407184174981,0.999999999999999
"18",2003,19.785480877408,-0.0135191225919513,18.981414079589,-0.817585920410977,19.799,3.23083784369135,13.018996517293,26.5519652375231,36.3401239111247,0.417680553682105,0.905811953391704,0.999999999999975
"19",2004,21.1397436408017,-24.9922563591983,20.3636148315623,-25.7683851684377,46.132,4.58510060708498,14.3732592806866,27.9062280009168,37.6943866745184,0.376430522004357,0.886545575115195,0.999999999999944
"20",2005,39.836048287173,-14.933951712827,39.7800759269373,-14.9899240730627,54.77,23.2814052534563,33.0695639270579,46.6025326472881,56.3906913208897,0.0344946559676541,0.383897355998681,0.999999998411489
"21",2006,9.20938515935556,-0.0136148406444381,9.93407500777544,0.71107500777544,9.223,-7.34525787436114,2.44290079924047,15.9758695194707,25.7640281930723,0.68892296822001,0.978101517975829,1
"22",2007,34.2460994131095,1.22909941310952,34.4949513499388,1.47795134993876,33.017,17.6914563793928,27.4796150529944,41.0125837732246,50.8007424468262,0.079386983196508,0.545389827812738,0.999999999878576
"23",2008,16.1651294474702,-14.3718705525298,15.3734458592944,-15.1635541407056,30.537,-0.389513586246544,9.39864508735506,22.9316138075853,32.7197724811869,0.528528790174623,0.944621645048264,0.999999999999997
"24",2009,13.3223260348451,-1.0956739651549,12.8393767284945,-1.57862327150553,14.418,-3.2323169988716,6.55584167473001,20.0888103949602,29.8769690685618,0.605577881959228,0.963356622457661,0.999999999999999
"25",2010,93.0870628316646,-0.754937168335431,91.7917495630966,-2.05025043690337,93.842,76.5324197979479,86.3205784715495,99.8535471917797,109.641705865381,2.51313185240783e-09,7.69360010280504e-06,0.970911985881791
"26",2011,11.5904671094538,2.30246710945381,12.2483113084791,2.96031130847912,9.288,-4.96417592426289,4.82398274933872,18.3569514695689,28.1451101431705,0.623081548207091,0.966881258988634,1
"27",2012,24.9395273953877,8.31652739538771,24.9541644079026,8.3311644079026,16.623,8.38488436167101,18.1730430352726,31.7060117555028,41.4941704291044,0.251313016322868,0.803133029635226,0.999999999999227
"28",2013,14.9676593552091,-4.06734064479086,14.2847787873695,-4.75022121263051,19.035,-1.58698367850756,8.20117499509405,21.7341437153242,31.5223023889258,0.561935825969563,0.953434509391368,0.999999999999999
"29",2014,9.75194219632544,-3.37505780367456,9.66857267441812,-3.45842732558188,13.127,-6.80270083739126,2.98545783621035,16.5184265564405,26.3065852300421,0.696150386554801,0.979154398986258,1
"30",2015,11.9385779459581,-10.5554220540419,11.5347456622288,-10.9592543377712,22.494,-4.61606508775864,5.17209358584296,18.7050623060732,28.4932209796748,0.643877636085836,0.970759309195299,1
